"Date","ATP","Tournament","Round","Surface","Court","Winner","Loser","margin","B365W","B365L","TTT_Pct_W","TTT_Pct_L","pred","ttt_correct","bookie_pred","bookie_correct","bet365_right_ttt_wrong","ATPk"
2024-01-01,1,"Brisbane International","1st Round","Hard","Outdoor","Safiullin R.","Shelton B.",1,2.3,1.62,52.65,47.35,"Safiullin R.",TRUE,"Shelton B.",FALSE,FALSE,1
2024-01-01,1,"Brisbane International","1st Round","Hard","Outdoor","Rune H.","Purcell M.",1,1.25,4,68.64,31.36,"Rune H.",TRUE,"Rune H.",TRUE,FALSE,1
2024-01-01,1,"Brisbane International","1st Round","Hard","Outdoor","Dimitrov G.","Murray A.",1,1.33,3.4,68.85,31.15,"Dimitrov G.",TRUE,"Dimitrov G.",TRUE,FALSE,1
2024-01-02,1,"Brisbane International","1st Round","Hard","Outdoor","Hanfmann Y.","Korda S.",2,4.5,1.2,21.65,78.35,"Korda S.",FALSE,"Korda S.",FALSE,FALSE,1
2024-01-02,1,"Brisbane International","1st Round","Hard","Outdoor","Machac T.","Etcheverry T.",1,1.36,3.2,60.3,39.7,"Machac T.",TRUE,"Machac T.",TRUE,FALSE,1
2024-01-02,1,"Brisbane International","1st Round","Hard","Outdoor","Thompson J.","Vukic A.",2,1.57,2.38,55.12,44.88,"Thompson J.",TRUE,"Thompson J.",TRUE,FALSE,1
2024-01-02,1,"Brisbane International","1st Round","Hard","Outdoor","Arnaldi M.","Fucsovics M.",1,1.91,1.91,46.6,53.4,"Fucsovics M.",FALSE,NA,FALSE,FALSE,1
2024-01-02,1,"Brisbane International","1st Round","Hard","Outdoor","Hijikata R.","Kokkinakis T.",2,2.63,1.5,37.25,62.75,"Kokkinakis T.",FALSE,"Kokkinakis T.",FALSE,FALSE,1
2024-01-03,1,"Brisbane International","1st Round","Hard","Outdoor","Humbert U.","Michelsen A.",2,1.4,3,53.82,46.18,"Humbert U.",TRUE,"Humbert U.",TRUE,FALSE,1
2024-01-01,2,"Hong Kong Tennis Open","1st Round","Hard","Outdoor","Kotov P.","Borges N.",2,2,1.8,68.1,31.9,"Kotov P.",TRUE,"Borges N.",FALSE,FALSE,2
2024-01-01,2,"Hong Kong Tennis Open","1st Round","Hard","Outdoor","Ruusuvuori E.","Bonzi B.",1,1.62,2.3,50.18,49.82,"Ruusuvuori E.",TRUE,"Ruusuvuori E.",TRUE,FALSE,2
2024-01-02,2,"Hong Kong Tennis Open","1st Round","Hard","Outdoor","Kecmanovic M.","Daniel T.",2,1.57,2.38,58.81,41.19,"Kecmanovic M.",TRUE,"Kecmanovic M.",TRUE,FALSE,2
2024-01-02,2,"Hong Kong Tennis Open","1st Round","Hard","Outdoor","Ofner S.","Mcdonald M.",2,2.75,1.44,41.94,58.06,"Mcdonald M.",FALSE,"Mcdonald M.",FALSE,FALSE,2
2024-01-02,2,"Hong Kong Tennis Open","1st Round","Hard","Outdoor","Bautista Agut R.","Marozsan F.",2,1.62,2.3,45.11,54.89,"Marozsan F.",FALSE,"Bautista Agut R.",TRUE,TRUE,2
2024-01-02,2,"Hong Kong Tennis Open","1st Round","Hard","Outdoor","Fils A.","Gojo B.",1,1.53,2.5,42.52,57.48,"Gojo B.",FALSE,"Fils A.",TRUE,TRUE,2
2024-01-08,3,"Adelaide International","1st Round","Hard","Outdoor","Draper J.","Baez S.",2,1.17,5,67.16,32.84,"Draper J.",TRUE,"Draper J.",TRUE,FALSE,3
2024-01-08,3,"Adelaide International","1st Round","Hard","Outdoor","Shevchenko A.","Etcheverry T.",1,1.73,2.1,49.83,50.17,"Etcheverry T.",FALSE,"Shevchenko A.",TRUE,TRUE,3
2024-01-08,3,"Adelaide International","1st Round","Hard","Outdoor","Kecmanovic M.","Mcdonald M.",2,1.5,2.63,45.09,54.91,"Mcdonald M.",FALSE,"Kecmanovic M.",TRUE,TRUE,3
2024-01-08,3,"Adelaide International","1st Round","Hard","Outdoor","Lajovic D.","Kokkinakis T.",1,2.75,1.44,57.04,42.96,"Lajovic D.",TRUE,"Kokkinakis T.",FALSE,FALSE,3
2024-01-08,3,"Adelaide International","1st Round","Hard","Outdoor","Arnaldi M.","Zapata Miralles B.",2,1.13,6,57.98,42.02,"Arnaldi M.",TRUE,"Arnaldi M.",TRUE,FALSE,3
2024-01-09,3,"Adelaide International","1st Round","Hard","Outdoor","O Connell C.","Rinderknech A.",2,2.1,1.73,55.54,44.46,"O Connell C.",TRUE,"Rinderknech A.",FALSE,FALSE,3
2024-01-09,3,"Adelaide International","1st Round","Hard","Outdoor","Thompson J.","Diaz Acosta F.",2,1.2,4.5,53.11,46.89,"Thompson J.",TRUE,"Thompson J.",TRUE,FALSE,3
2024-01-09,3,"Adelaide International","1st Round","Hard","Outdoor","Sonego L.","Hanfmann Y.",1,1.62,2.3,61.7,38.3,"Sonego L.",TRUE,"Sonego L.",TRUE,FALSE,3
2024-01-09,3,"Adelaide International","1st Round","Hard","Outdoor","Evans D.","Hijikata R.",2,1.8,2,56.57,43.43,"Evans D.",TRUE,"Evans D.",TRUE,FALSE,3
2024-01-07,4,"ASB Classic","1st Round","Hard","Outdoor","Altmaier D.","Giron M.",2,2.63,1.5,44.23,55.77,"Giron M.",FALSE,"Giron M.",FALSE,FALSE,4
2024-01-07,4,"ASB Classic","1st Round","Hard","Outdoor","Daniel T.","Vukic A.",2,1.73,2.1,40.11,59.89,"Vukic A.",FALSE,"Daniel T.",TRUE,TRUE,4
2024-01-08,4,"ASB Classic","1st Round","Hard","Outdoor","Van Assche L.","Wolf J.J.",2,2.3,1.62,45.38,54.62,"Wolf J.J.",FALSE,"Wolf J.J.",FALSE,FALSE,4
2024-01-08,4,"ASB Classic","1st Round","Hard","Outdoor","Tabilo A.","Gojo B.",1,2.63,1.5,46.66,53.34,"Gojo B.",FALSE,"Gojo B.",FALSE,FALSE,4
2024-01-08,4,"ASB Classic","1st Round","Hard","Outdoor","Van De Zandschulp B.","Eubanks C.",2,1.44,2.75,46.72,53.28,"Eubanks C.",FALSE,"Van De Zandschulp B.",TRUE,TRUE,4
2024-01-08,4,"ASB Classic","1st Round","Hard","Outdoor","Borges N.","Michelsen A.",1,2.75,1.44,54.6,45.4,"Borges N.",TRUE,"Michelsen A.",FALSE,FALSE,4
2024-01-08,4,"ASB Classic","1st Round","Hard","Outdoor","Marozsan F.","Monfils G.",1,2.5,1.53,50.93,49.07,"Marozsan F.",TRUE,"Monfils G.",FALSE,FALSE,4
2024-01-08,4,"ASB Classic","1st Round","Hard","Outdoor","Carballes Baena R.","Bautista Agut R.",2,6,1.13,38.39,61.61,"Bautista Agut R.",FALSE,"Bautista Agut R.",FALSE,FALSE,4
2024-01-09,4,"ASB Classic","1st Round","Hard","Outdoor","Fils A.","Gasquet R.",2,1.33,3.4,58.69,41.31,"Fils A.",TRUE,"Fils A.",TRUE,FALSE,4
2024-01-14,5,"Australian Open","1st Round","Hard","Outdoor","Munar J.","Shevchenko A.",3,3.2,1.36,35.98,64.02,"Shevchenko A.",FALSE,"Shevchenko A.",FALSE,FALSE,5
2024-01-14,5,"Australian Open","1st Round","Hard","Outdoor","Sinner J.","Van De Zandschulp B.",3,1.06,10,74.15,25.85,"Sinner J.",TRUE,"Sinner J.",TRUE,FALSE,5
2024-01-14,5,"Australian Open","1st Round","Hard","Outdoor","Kotov P.","Rinderknech A.",1,1.62,2.3,67.68,32.32,"Kotov P.",TRUE,"Kotov P.",TRUE,FALSE,5
2024-01-14,5,"Australian Open","1st Round","Hard","Outdoor","Rublev A.","Seyboth Wild T.",1,1.03,17,72.56,27.44,"Rublev A.",TRUE,"Rublev A.",TRUE,FALSE,5
2024-01-14,5,"Australian Open","1st Round","Hard","Outdoor","O Connell C.","Garin C.",1,1.44,2.75,42.87,57.13,"Garin C.",FALSE,"O Connell C.",TRUE,TRUE,5
2024-01-14,5,"Australian Open","1st Round","Hard","Outdoor","Fritz T.","Diaz Acosta F.",1,1.03,15,68.99,31.01,"Fritz T.",TRUE,"Fritz T.",TRUE,FALSE,5
2024-01-14,5,"Australian Open","1st Round","Hard","Outdoor","Tiafoe F.","Coric B.",2,1.53,2.5,63.53,36.47,"Tiafoe F.",TRUE,"Tiafoe F.",TRUE,FALSE,5
2024-01-15,5,"Australian Open","1st Round","Hard","Outdoor","Cobolli F.","Jarry N.",1,4.5,1.2,45.46,54.54,"Jarry N.",FALSE,"Jarry N.",FALSE,FALSE,5
2024-01-15,5,"Australian Open","1st Round","Hard","Outdoor","Gaston H.","Carballes Baena R.",2,2.2,1.67,53.13,46.87,"Gaston H.",TRUE,"Carballes Baena R.",FALSE,FALSE,5
2024-01-15,5,"Australian Open","1st Round","Hard","Outdoor","Shelton B.","Bautista Agut R.",3,1.33,3.4,55.66,44.34,"Shelton B.",TRUE,"Shelton B.",TRUE,FALSE,5
2024-01-15,5,"Australian Open","1st Round","Hard","Outdoor","Davidovich Fokina A.","Lestienne C.",3,1.17,5,63.8,36.2,"Davidovich Fokina A.",TRUE,"Davidovich Fokina A.",TRUE,FALSE,5
2024-01-15,5,"Australian Open","1st Round","Hard","Outdoor","Mannarino A.","Wawrinka S.",1,1.4,3,51.3,48.7,"Mannarino A.",TRUE,"Mannarino A.",TRUE,FALSE,5
2024-01-15,5,"Australian Open","1st Round","Hard","Outdoor","Van Assche L.","Duckworth J.",1,1.73,2.1,50.6,49.4,"Van Assche L.",TRUE,"Van Assche L.",TRUE,FALSE,5
2024-01-15,5,"Australian Open","1st Round","Hard","Outdoor","Khachanov K.","Altmaier D.",2,1.22,4.33,69.22,30.78,"Khachanov K.",TRUE,"Khachanov K.",TRUE,FALSE,5
2024-01-15,5,"Australian Open","1st Round","Hard","Outdoor","Thompson J.","Vukic A.",1,1.4,3,59.43,40.57,"Thompson J.",TRUE,"Thompson J.",TRUE,FALSE,5
2024-01-15,5,"Australian Open","1st Round","Hard","Outdoor","Zhang Zh.","Coria F.",3,1.05,11,64.59,35.41,"Zhang Zh.",TRUE,"Zhang Zh.",TRUE,FALSE,5
2024-01-15,5,"Australian Open","1st Round","Hard","Outdoor","Eubanks C.","Daniel T.",3,2.2,1.67,61.58,38.42,"Eubanks C.",TRUE,"Daniel T.",FALSE,FALSE,5
2024-01-15,5,"Australian Open","1st Round","Hard","Outdoor","Etcheverry T.","Murray A.",3,2.2,1.67,50.59,49.41,"Etcheverry T.",TRUE,"Murray A.",FALSE,FALSE,5
2024-01-15,5,"Australian Open","1st Round","Hard","Outdoor","Monfils G.","Hanfmann Y.",3,1.53,2.5,59.09,40.91,"Monfils G.",TRUE,"Monfils G.",TRUE,FALSE,5
2024-01-15,5,"Australian Open","1st Round","Hard","Outdoor","Borges N.","Marterer M.",3,2,1.8,47.32,52.68,"Marterer M.",FALSE,"Marterer M.",FALSE,FALSE,5
2024-01-15,5,"Australian Open","1st Round","Hard","Outdoor","Auger-Aliassime F.","Thiem D.",1,1.44,2.75,59.49,40.51,"Auger-Aliassime F.",TRUE,"Auger-Aliassime F.",TRUE,FALSE,5
2024-01-15,5,"Australian Open","1st Round","Hard","Outdoor","Struff J.L.","Hijikata R.",1,1.62,2.3,66.94,33.06,"Struff J.L.",TRUE,"Struff J.L.",TRUE,FALSE,5
2024-01-16,5,"Australian Open","1st Round","Hard","Outdoor","Lehecka J.","Zapata Miralles B.",3,1.07,9,60.66,39.34,"Lehecka J.",TRUE,"Lehecka J.",TRUE,FALSE,5
2024-01-16,5,"Australian Open","1st Round","Hard","Outdoor","Norrie C.","Varillas J. P.",3,1.1,7,64.46,35.54,"Norrie C.",TRUE,"Norrie C.",TRUE,FALSE,5
2024-01-16,5,"Australian Open","1st Round","Hard","Outdoor","Griekspoor T.","Safiullin R.",1,2.63,1.5,47.89,52.11,"Safiullin R.",FALSE,"Safiullin R.",FALSE,FALSE,5
2024-01-16,5,"Australian Open","1st Round","Hard","Outdoor","Ruud C.","Ramos-Vinolas A.",3,1.02,19,73.91,26.09,"Ruud C.",TRUE,"Ruud C.",TRUE,FALSE,5
2024-01-16,5,"Australian Open","1st Round","Hard","Outdoor","Dimitrov G.","Fucsovics M.",2,1.17,5,65.39,34.61,"Dimitrov G.",TRUE,"Dimitrov G.",TRUE,FALSE,5
2024-01-16,5,"Australian Open","1st Round","Hard","Outdoor","Draper J.","Giron M.",1,1.25,4,68.63,31.37,"Draper J.",TRUE,"Draper J.",TRUE,FALSE,5
2024-01-16,5,"Australian Open","1st Round","Hard","Outdoor","Rune H.","Nishioka Y.",2,1.11,6.5,67.12,32.88,"Rune H.",TRUE,"Rune H.",TRUE,FALSE,5
2024-01-16,5,"Australian Open","1st Round","Hard","Outdoor","Paul T.","Barrere G.",3,1.11,6.5,63.19,36.81,"Paul T.",TRUE,"Paul T.",TRUE,FALSE,5
2024-01-16,5,"Australian Open","1st Round","Hard","Outdoor","Kokkinakis T.","Ofner S.",1,2,1.8,49.77,50.23,"Ofner S.",FALSE,"Ofner S.",FALSE,FALSE,5
2024-01-16,5,"Australian Open","1st Round","Hard","Outdoor","Sonego L.","Evans D.",2,1.8,2,49.82,50.18,"Evans D.",FALSE,"Sonego L.",TRUE,TRUE,5
2024-01-16,5,"Australian Open","1st Round","Hard","Outdoor","Zverev A.","Koepfer D.",2,1.06,10,75.96,24.04,"Zverev A.",TRUE,"Zverev A.",TRUE,FALSE,5
2024-01-29,6,"Open Sud de France","1st Round","Hard","Indoor","Martinez P.","Munar J.",2,1.91,1.91,47,53,"Munar J.",FALSE,NA,FALSE,FALSE,6
2024-01-30,6,"Open Sud de France","1st Round","Hard","Indoor","Cazaux A.","Marterer M.",2,1.4,3,62.22,37.78,"Cazaux A.",TRUE,"Cazaux A.",TRUE,FALSE,6
2024-01-31,6,"Open Sud de France","1st Round","Hard","Indoor","Cobolli F.","Monfils G.",1,3.4,1.33,55.86,44.14,"Cobolli F.",TRUE,"Monfils G.",FALSE,FALSE,6
2024-02-05,7,"Cordoba Open","1st Round","Clay","Outdoor","Munar J.","Galan D.E.",2,1.73,2.1,56.88,43.12,"Munar J.",TRUE,"Munar J.",TRUE,FALSE,7
2024-02-05,7,"Cordoba Open","1st Round","Clay","Outdoor","Ramos-Vinolas A.","Cachin P.",1,2.1,1.73,45.4,54.6,"Cachin P.",FALSE,"Cachin P.",FALSE,FALSE,7
2024-02-06,7,"Cordoba Open","1st Round","Clay","Outdoor","Coria F.","Altmaier D.",1,2.5,1.53,36.75,63.25,"Altmaier D.",FALSE,"Altmaier D.",FALSE,FALSE,7
2024-02-06,7,"Cordoba Open","1st Round","Clay","Outdoor","Hanfmann Y.","Varillas J.P.",1,1.44,2.75,53.71,46.29,"Hanfmann Y.",TRUE,"Hanfmann Y.",TRUE,FALSE,7
2024-02-07,8,"Dallas Open","1st Round","Hard","Indoor","Koepfer D.","Kovacevic A.",2,1.36,3.2,47.19,52.81,"Kovacevic A.",FALSE,"Koepfer D.",TRUE,TRUE,8
2024-02-05,9,"Open 13","1st Round","Hard","Indoor","Musetti L.","Marterer M.",2,1.53,2.5,84.87,15.13,"Musetti L.",TRUE,"Musetti L.",TRUE,FALSE,9
2024-02-06,9,"Open 13","1st Round","Hard","Indoor","Machac T.","Murray A.",2,1.44,2.75,63.14,36.86,"Machac T.",TRUE,"Machac T.",TRUE,FALSE,9
2024-02-07,9,"Open 13","1st Round","Hard","Indoor","Ruusuvuori E.","Van Assche L.",2,1.36,3.2,53.73,46.27,"Ruusuvuori E.",TRUE,"Ruusuvuori E.",TRUE,FALSE,9
2024-02-12,10,"Argentina Open","1st Round","Clay","Outdoor","Diaz Acosta F.","Altmaier D.",2,2.2,1.67,50.26,49.74,"Diaz Acosta F.",TRUE,"Altmaier D.",FALSE,FALSE,10
2024-02-12,10,"Argentina Open","1st Round","Clay","Outdoor","Wawrinka S.","Cachin P.",1,1.62,2.3,67.78,32.22,"Wawrinka S.",TRUE,"Wawrinka S.",TRUE,FALSE,10
2024-02-13,10,"Argentina Open","1st Round","Clay","Outdoor","Etcheverry T.","Carballes Baena R.",2,1.33,3.4,61.36,38.64,"Etcheverry T.",TRUE,"Etcheverry T.",TRUE,FALSE,10
2024-02-13,10,"Argentina Open","1st Round","Clay","Outdoor","Tabilo A.","Hanfmann Y.",2,2,1.8,68.36,31.64,"Tabilo A.",TRUE,"Hanfmann Y.",FALSE,FALSE,10
2024-02-13,10,"Argentina Open","1st Round","Clay","Outdoor","Lajovic D.","Fils A.",2,2.75,1.44,52.36,47.64,"Lajovic D.",TRUE,"Fils A.",FALSE,FALSE,10
2024-02-14,10,"Argentina Open","1st Round","Clay","Outdoor","Baez S.","Zapata Miralles B.",2,1.2,4.5,55.42,44.58,"Baez S.",TRUE,"Baez S.",TRUE,FALSE,10
2024-02-12,11,"Delray Beach Open","1st Round","Hard","Outdoor","Arnaldi M.","Nishioka Y.",1,1.67,2.2,57.42,42.58,"Arnaldi M.",TRUE,"Arnaldi M.",TRUE,FALSE,11
2024-02-13,11,"Delray Beach Open","1st Round","Hard","Outdoor","Thompson J.","Evans D.",2,1.57,2.38,53.18,46.82,"Thompson J.",TRUE,"Thompson J.",TRUE,FALSE,11
2024-02-13,11,"Delray Beach Open","1st Round","Hard","Outdoor","Cobolli F.","Daniel T.",1,1.8,2,76.38,23.62,"Cobolli F.",TRUE,"Cobolli F.",TRUE,FALSE,11
2024-02-14,11,"Delray Beach Open","1st Round","Hard","Outdoor","Michelsen A.","Kokkinakis T.",2,2,1.8,33.13,66.87,"Kokkinakis T.",FALSE,"Kokkinakis T.",FALSE,FALSE,11
2024-02-12,12,"ABN AMRO World Tennis Tournament","1st Round","Hard","Indoor","Griekspoor T.","Musetti L.",1,1.44,2.75,51.47,48.53,"Griekspoor T.",TRUE,"Griekspoor T.",TRUE,FALSE,12
2024-02-13,12,"ABN AMRO World Tennis Tournament","1st Round","Hard","Indoor","Bublik A.","Coric B.",2,1.91,1.91,59.6,40.4,"Bublik A.",TRUE,NA,FALSE,FALSE,12
2024-02-13,12,"ABN AMRO World Tennis Tournament","1st Round","Hard","Indoor","Shevchenko A.","Zhang Zh.",1,1.91,1.91,47.87,52.13,"Zhang Zh.",FALSE,NA,FALSE,FALSE,12
2024-02-13,12,"ABN AMRO World Tennis Tournament","1st Round","Hard","Indoor","Fucsovics M.","Marozsan F.",2,1.67,2.2,49.52,50.48,"Marozsan F.",FALSE,"Fucsovics M.",TRUE,TRUE,12
2024-02-13,12,"ABN AMRO World Tennis Tournament","1st Round","Hard","Indoor","De Minaur A.","Korda S.",2,1.53,2.5,43.24,56.76,"Korda S.",FALSE,"De Minaur A.",TRUE,TRUE,12
2024-02-13,12,"ABN AMRO World Tennis Tournament","1st Round","Hard","Indoor","Struff J.L.","Davidovich Fokina A.",1,2.3,1.62,48.72,51.28,"Davidovich Fokina A.",FALSE,"Davidovich Fokina A.",FALSE,FALSE,12
2024-02-13,12,"ABN AMRO World Tennis Tournament","1st Round","Hard","Indoor","Hurkacz H.","Lehecka J.",1,1.36,3.2,59.28,40.72,"Hurkacz H.",TRUE,"Hurkacz H.",TRUE,FALSE,12
2024-02-14,12,"ABN AMRO World Tennis Tournament","1st Round","Hard","Indoor","Ruusuvuori E.","Humbert U.",1,2.2,1.67,45.03,54.97,"Humbert U.",FALSE,"Humbert U.",FALSE,FALSE,12
2024-02-14,12,"ABN AMRO World Tennis Tournament","1st Round","Hard","Indoor","Dimitrov G.","Sonego L.",2,1.22,4.33,67.55,32.45,"Dimitrov G.",TRUE,"Dimitrov G.",TRUE,FALSE,12
2024-02-14,12,"ABN AMRO World Tennis Tournament","1st Round","Hard","Indoor","Rune H.","Safiullin R.",1,1.8,2,54.17,45.83,"Rune H.",TRUE,"Rune H.",TRUE,FALSE,12
2024-02-14,12,"ABN AMRO World Tennis Tournament","1st Round","Hard","Indoor","Sinner J.","Van De Zandschulp B.",2,1.1,7,75.38,24.62,"Sinner J.",TRUE,"Sinner J.",TRUE,FALSE,12
2024-02-19,13,"Qatar Exxon Mobil Open","1st Round","Hard","Outdoor","Kotov P.","Sonego L.",2,2.2,1.67,54.92,45.08,"Kotov P.",TRUE,"Sonego L.",FALSE,FALSE,13
2024-02-19,13,"Qatar Exxon Mobil Open","1st Round","Hard","Outdoor","Zhang Zh.","Musetti L.",2,2.2,1.67,44.34,55.66,"Musetti L.",FALSE,"Musetti L.",FALSE,FALSE,13
2024-02-19,13,"Qatar Exxon Mobil Open","1st Round","Hard","Outdoor","Fucsovics M.","Bautista Agut R.",2,1.73,2.1,55.49,44.51,"Fucsovics M.",TRUE,"Fucsovics M.",TRUE,FALSE,13
2024-02-20,13,"Qatar Exxon Mobil Open","1st Round","Hard","Outdoor","O Connell C.","Struff J.L.",2,2.38,1.57,36.89,63.11,"Struff J.L.",FALSE,"Struff J.L.",FALSE,FALSE,13
2024-02-20,13,"Qatar Exxon Mobil Open","1st Round","Hard","Outdoor","Murray A.","Muller A.",2,1.91,1.91,63.62,36.38,"Murray A.",TRUE,NA,FALSE,FALSE,13
2024-02-20,13,"Qatar Exxon Mobil Open","1st Round","Hard","Outdoor","Monfils G.","Van De Zandschulp B.",2,1.67,2.2,56.83,43.17,"Monfils G.",TRUE,"Monfils G.",TRUE,FALSE,13
2024-02-19,14,"Los Cabos Open","1st Round","Hard","Outdoor","Evans D.","Safiullin R.",2,2.75,1.44,40.44,59.56,"Safiullin R.",FALSE,"Safiullin R.",FALSE,FALSE,14
2024-02-20,14,"Los Cabos Open","1st Round","Hard","Outdoor","Purcell M.","Arnaldi M.",1,2.38,1.57,41.98,58.02,"Arnaldi M.",FALSE,"Arnaldi M.",FALSE,FALSE,14
2024-02-20,14,"Los Cabos Open","1st Round","Hard","Outdoor","Borges N.","Koepfer D.",2,2,1.8,51.52,48.48,"Borges N.",TRUE,"Koepfer D.",FALSE,FALSE,14
2024-02-20,14,"Los Cabos Open","1st Round","Hard","Outdoor","Hijikata R.","Kecmanovic M.",2,3,1.4,43.07,56.93,"Kecmanovic M.",FALSE,"Kecmanovic M.",FALSE,FALSE,14
2024-02-21,14,"Los Cabos Open","1st Round","Hard","Outdoor","Nishioka Y.","Cobolli F.",2,1.8,2,34.38,65.62,"Cobolli F.",FALSE,"Nishioka Y.",TRUE,TRUE,14
2024-02-21,14,"Los Cabos Open","1st Round","Hard","Outdoor","Giron M.","Daniel T.",2,1.4,3,60.79,39.21,"Giron M.",TRUE,"Giron M.",TRUE,FALSE,14
2024-02-20,15,"Rio Open","1st Round","Clay","Outdoor","Seyboth Wild T.","Tabilo A.",1,2.2,1.67,33.15,66.85,"Tabilo A.",FALSE,"Tabilo A.",FALSE,FALSE,15
2024-02-20,15,"Rio Open","1st Round","Clay","Outdoor","Djere L.","Zapata Miralles B.",2,1.44,2.75,64.37,35.63,"Djere L.",TRUE,"Djere L.",TRUE,FALSE,15
2024-02-20,15,"Rio Open","1st Round","Clay","Outdoor","Munar J.","Ofner S.",2,1.67,2.2,45.78,54.22,"Ofner S.",FALSE,"Munar J.",TRUE,TRUE,15
2024-02-20,15,"Rio Open","1st Round","Clay","Outdoor","Lajovic D.","Galan D.E.",1,1.57,2.38,71.24,28.76,"Lajovic D.",TRUE,"Lajovic D.",TRUE,FALSE,15
2024-02-20,15,"Rio Open","1st Round","Clay","Outdoor","Diaz Acosta F.","Wawrinka S.",2,2.2,1.67,43.3,56.7,"Wawrinka S.",FALSE,"Wawrinka S.",FALSE,FALSE,15
2024-02-21,15,"Rio Open","1st Round","Clay","Outdoor","Garin C.","Carballes Baena R.",1,2.2,1.67,61.59,38.41,"Garin C.",TRUE,"Carballes Baena R.",FALSE,FALSE,15
2024-02-21,15,"Rio Open","1st Round","Clay","Outdoor","Hanfmann Y.","Jarry N.",1,2.5,1.53,31.9,68.1,"Jarry N.",FALSE,"Jarry N.",FALSE,FALSE,15
2024-02-27,16,"Abierto Mexicano","1st Round","Hard","Outdoor","Shelton B.","Evans D.",1,1.36,3.2,57.21,42.79,"Shelton B.",TRUE,"Shelton B.",TRUE,FALSE,16
2024-02-27,16,"Abierto Mexicano","1st Round","Hard","Outdoor","Draper J.","Paul T.",2,2.1,1.73,53.62,46.38,"Draper J.",TRUE,"Paul T.",FALSE,FALSE,16
2024-02-27,16,"Abierto Mexicano","1st Round","Hard","Outdoor","Nishioka Y.","Borges N.",1,2.38,1.57,57.06,42.94,"Nishioka Y.",TRUE,"Borges N.",FALSE,FALSE,16
