ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,GamesMatch,mu_generic_w,sigma_generic_w,mu_generic_l,sigma_generic_l,Fatigue_W,Fatigue_L,mu_winner,mu_loser,sigma_winner,sigma_loser,p_ttt_win,p_adj_win,pred,ttt_correct,pred_fat,ttt_fat_correct,bookie_pred,bookie_correct,theta_used
20,Miami,Miami Open,2024-03-21,Masters 1000,Outdoor,Hard,1st Round,3,Altmaier D.,Mayot H.,54,141,951,472,6,2,7,5,NA,NA,NA,NA,NA,NA,2,0,Completed,1.73,2.1,1.81,2.1,1.82,2.12,1.76,2.04,20,1.6107229755672643,0.3030668484751084,2.4628809766648407,0.7881890322559627,0,0,1.6107229755672643,2.4628809766648407,0.3030668484751084,0.7881890322559627,0.15645592907526262,0.15645592907526265,Mayot H.,FALSE,Mayot H.,FALSE,Altmaier D.,TRUE,-0.033467965220428546
20,Miami,Miami Open,2024-03-21,Masters 1000,Outdoor,Hard,1st Round,3,Ofner S.,Nishikori K.,40,351,1076,143,6,3,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.87,2.03,1.87,2.1,1.8,2,19,1.9475834381098072,0.3426397696903157,2.8109096853980486,1.129963915756858,0,0,1.9475834381098072,2.8109096853980486,0.3426397696903157,1.129963915756858,0.23234236269706182,0.2323423626970618,Nishikori K.,FALSE,Nishikori K.,FALSE,Ofner S.,TRUE,-0.033467965220428546
21,Estoril,Estoril Open,2024-04-01,ATP250,Outdoor,Clay,1st Round,3,Borges N.,Pouille L.,62,241,871,252,0,6,7,6,6,3,NA,NA,NA,NA,2,1,Completed,1.5,2.63,1.45,2.93,1.53,2.93,1.46,2.69,28,1.1822890204758434,0.37639342855291213,1.7862281837232894,0.9695903775726861,0,0,1.1822890204758434,1.7862281837232894,0.37639342855291213,0.9695903775726861,0.2807337724925469,0.2807337724925469,Pouille L.,FALSE,Pouille L.,FALSE,Borges N.,TRUE,-0.03426566071979946
21,Estoril,Estoril Open,2024-04-03,ATP250,Outdoor,Clay,1st Round,3,Martinez P.,Altmaier D.,77,54,741,955,6,4,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.73,2.1,1.72,2.23,1.75,2.23,1.7,2.14,18,1.1050390869422946,0.507128508290055,1.6596739068284299,0.2993138403965133,0,0,1.1050390869422946,1.6596739068284299,0.507128508290055,0.2993138403965133,0.17313148946564938,0.17313148946564938,Altmaier D.,FALSE,Altmaier D.,FALSE,Martinez P.,TRUE,-0.03426566071979946
23,Marrakech,Grand Prix Hassan II,2024-04-02,ATP250,Outdoor,Clay,1st Round,3,Berrettini M.,Shevchenko A.,135,56,470,934,6,2,6,1,NA,NA,NA,NA,NA,NA,2,0,Completed,1.62,2.3,1.61,2.46,1.62,2.6,1.56,2.41,15,2.1142751781140476,0.4297017047951741,2.1458641201627566,0.30517454461764415,0,0,2.1142751781140476,2.1458641201627566,0.4297017047951741,0.30517454461764415,0.47610326519728036,0.4761032651972803,Shevchenko A.,FALSE,Shevchenko A.,FALSE,Berrettini M.,TRUE,-0.033389307958642984
24,Monte Carlo,Monte Carlo Masters,2024-04-07,Masters 1000,Outdoor,Clay,1st Round,3,Coric B.,Bublik A.,33,18,1204,1992,6,1,6,1,NA,NA,NA,NA,NA,NA,2,0,Completed,1.53,2.5,1.59,2.5,1.59,3.1,1.54,2.46,14,2.021774946312681,0.3168415241377226,2.242431579417515,0.28253057997775094,0,0,2.021774946312681,2.242431579417515,0.3168415241377226,0.28253057997775094,0.301606177403792,0.301606177403792,Bublik A.,FALSE,Bublik A.,FALSE,Coric B.,TRUE,-0.03376547068231529
24,Monte Carlo,Monte Carlo Masters,2024-04-08,Masters 1000,Outdoor,Clay,1st Round,3,Tabilo A.,O Connell C.,45,62,1051,886,6,3,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.57,2.38,1.58,2.52,1.6,2.75,1.55,2.44,19,1.846104859182607,0.5267474129943441,2.08597675298162,0.2948210337747295,0,0,1.846104859182607,2.08597675298162,0.5267474129943441,0.2948210337747295,0.34554540694444424,0.34554540694444424,O Connell C.,FALSE,O Connell C.,FALSE,Tabilo A.,TRUE,-0.03376547068231529
25,Barcelona,Barcelona Open,2024-04-15,ATP500,Outdoor,Clay,1st Round,3,Nakashima B.,Evans D.,87,49,695,996,7,6,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.5,2.63,1.51,2.75,1.53,2.8,1.48,2.65,21,1.6321801070903175,0.3314341177545743,1.788956461689852,0.2938981203634514,0,0,1.6321801070903175,1.788956461689852,0.3314341177545743,0.2938981203634514,0.36169983362336666,0.3616998336233666,Evans D.,FALSE,Evans D.,FALSE,Nakashima B.,TRUE,-0.03401022854305706
25,Barcelona,Barcelona Open,2024-04-15,ATP500,Outdoor,Clay,1st Round,3,Bautista Agut R.,Safiullin R.,84,38,703,1139,6,3,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.76,2.17,1.76,2.3,1.67,2.21,22,2.0680904937765683,0.29471855030406247,2.248635160155865,0.2844512456285281,0,0,2.0680904937765683,2.248635160155865,0.29471855030406247,0.2844512456285281,0.32968479827477,0.32968479827476993,Safiullin R.,FALSE,Safiullin R.,FALSE,Bautista Agut R.,TRUE,-0.03401022854305706
25,Barcelona,Barcelona Open,2024-04-15,ATP500,Outdoor,Clay,1st Round,3,Hardt N.,Landaluce M.,229,328,260,160,2,6,6,4,6,3,NA,NA,NA,NA,2,1,Completed,1.8,2,1.87,2.02,1.9,2.07,1.84,1.97,27,0,4,0.7827154964141211,1.0573999060639496,0,0,0,0.7827154964141211,4,1.0573999060639496,0.4249757003713715,0.4249757003713715,Landaluce M.,FALSE,Landaluce M.,FALSE,Hardt N.,TRUE,-0.03401022854305706
25,Barcelona,Barcelona Open,2024-04-16,ATP500,Outdoor,Clay,1st Round,3,Carballes Baena R.,Grenier H.,72,159,771,407,6,2,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.17,5.5,1.18,5.43,1.2,5.6,1.17,5.11,18,1.5187603884012433,0.28902536856730027,1.6433870261939378,0.6228356516656225,0,0,1.5187603884012433,1.6433870261939378,0.28902536856730027,0.6228356516656225,0.4279856208958769,0.4279856208958769,Grenier H.,FALSE,Grenier H.,FALSE,Carballes Baena R.,TRUE,-0.03401022854305706
25,Barcelona,Barcelona Open,2024-04-16,ATP500,Outdoor,Clay,1st Round,3,Munar J.,Nishioka Y.,73,71,770,788,6,3,6,1,NA,NA,NA,NA,NA,NA,2,0,Completed,1.25,4,1.3,3.85,1.3,4.05,1.27,3.74,16,1.6702086682489905,0.3084012033131064,2.104146161798087,0.29314419651421897,0,0,1.6702086682489905,2.104146161798087,0.3084012033131064,0.29314419651421897,0.1539010161161018,0.1539010161161018,Nishioka Y.,FALSE,Nishioka Y.,FALSE,Munar J.,TRUE,-0.03401022854305706
26,Bucharest,Tiriac Open,2024-04-15,ATP250,Outdoor,Clay,1st Round,3,Rinderknech A.,Gaston H.,79,96,729,642,6,7,6,4,7,5,NA,NA,NA,NA,2,1,Completed,1.67,2.2,1.65,2.37,1.68,2.5,1.62,2.27,35,1.061372024425192,0.3431243563668937,1.2660266908233837,0.45553640942245927,0,0,1.061372024425192,1.2660266908233837,0.3431243563668937,0.45553640942245927,0.35985317245827075,0.3598531724582707,Gaston H.,FALSE,Gaston H.,FALSE,Rinderknech A.,TRUE,-0.03466443806713529
26,Bucharest,Tiriac Open,2024-04-15,ATP250,Outdoor,Clay,1st Round,3,Coria F.,Bonzi B.,83,182,711,336,6,4,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.5,2.63,1.43,2.98,1.52,3,1.43,2.76,18,1.3623623863084933,0.39156410823582155,1.6709696924825084,0.34650522779654874,0,0,1.3623623863084933,1.6709696924825084,0.39156410823582155,0.34650522779654874,0.27752053462101284,0.27752053462101284,Bonzi B.,FALSE,Bonzi B.,FALSE,Coria F.,TRUE,-0.03466443806713529
26,Bucharest,Tiriac Open,2024-04-16,ATP250,Outdoor,Clay,1st Round,3,Albot R.,Kovacevic A.,139,97,459,638,7,6,4,6,6,1,NA,NA,NA,NA,2,1,Completed,1.62,2.3,1.6,2.49,1.65,2.49,1.58,2.34,30,1.074883669465288,0.45848382504543245,1.3162084969142076,0.44612548647812267,0,0,1.074883669465288,1.3162084969142076,0.45848382504543245,0.44612548647812267,0.3529983744393522,0.35299837443935217,Kovacevic A.,FALSE,Kovacevic A.,FALSE,Albot R.,TRUE,-0.03466443806713529
26,Bucharest,Tiriac Open,2024-04-16,ATP250,Outdoor,Clay,1st Round,3,Moutet C.,Shapovalov D.,92,121,652,510,6,4,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.85,2.05,1.9,2.05,1.81,1.97,18,0.8513608992499359,0.41673216919965056,2.0499494378567333,0.3406939375047059,0,0,0.8513608992499359,2.0499494378567333,0.41673216919965056,0.3406939375047059,0.012982698714275303,0.012982698714275298,Shapovalov D.,FALSE,Shapovalov D.,FALSE,Moutet C.,TRUE,-0.03466443806713529
26,Bucharest,Tiriac Open,2024-04-16,ATP250,Outdoor,Clay,1st Round,3,Borges N.,Wawrinka S.,55,86,911,697,3,6,7,5,6,2,NA,NA,NA,NA,2,1,Completed,1.62,2.3,1.58,2.53,1.62,2.53,1.57,2.37,29,1.2419814876963744,0.3695148209454101,2.1470467955441372,0.2856903350304295,0,0,1.2419814876963744,2.1470467955441372,0.3695148209454101,0.2856903350304295,0.026328379198696947,0.02632837919869694,Wawrinka S.,FALSE,Wawrinka S.,FALSE,Borges N.,TRUE,-0.03466443806713529
27,Munich,BMW Open,2024-04-16,ATP250,Outdoor,Clay,1st Round,3,Van De Zandschulp B.,Gakhov I.,89,280,670,202,6,4,2,6,6,3,NA,NA,NA,NA,2,1,Completed,1.25,4,1.31,3.79,1.31,4,1.28,3.62,27,2.168940932047217,0.2701611383180164,3.0218288617433875,1.556028081783378,0,0,2.168940932047217,3.0218288617433875,0.2701611383180164,1.556028081783378,0.29458494062349555,0.29458494062349555,Gakhov I.,FALSE,Gakhov I.,FALSE,Van De Zandschulp B.,TRUE,-0.03449016560425009
28,Madrid,Mutua Madrid Open,2024-04-24,Masters 1000,Outdoor,Clay,1st Round,3,Seyboth Wild T.,Safiullin R.,63,42,849,1139,6,4,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.73,2.1,1.85,2.05,1.85,2.1,1.8,2,20,1.613066232787892,0.4817853572446588,2.1936048657527407,0.28106523425571667,0,0,1.613066232787892,2.1936048657527407,0.4817853572446588,0.28106523425571667,0.14898223804757604,0.14898223804757604,Safiullin R.,FALSE,Safiullin R.,FALSE,Seyboth Wild T.,TRUE,-0.03498574765459438
28,Madrid,Mutua Madrid Open,2024-04-25,Masters 1000,Outdoor,Clay,1st Round,3,Machac T.,Ruusuvuori E.,50,71,1013,795,6,4,1,6,6,2,NA,NA,NA,NA,2,1,Completed,1.5,2.63,1.53,2.65,1.54,2.75,1.49,2.6,25,2.326091154955523,0.4764091517929649,2.3369440237814603,0.2829045859068218,0,0,2.326091154955523,2.3369440237814603,0.4764091517929649,0.2829045859068218,0.49218629199125424,0.4921862919912543,Ruusuvuori E.,FALSE,Ruusuvuori E.,FALSE,Machac T.,TRUE,-0.03498574765459438
28,Madrid,Mutua Madrid Open,2024-04-25,Masters 1000,Outdoor,Clay,1st Round,3,Kecmanovic M.,Zhang Zh.,66,49,830,1038,6,3,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.74,2.2,1.78,2.22,1.68,2.17,17,1.7113606382677362,0.2626912079181035,2.2495441207021094,0.29169867137104205,0,0,1.7113606382677362,2.2495441207021094,0.2626912079181035,0.29169867137104205,0.08518800041468293,0.08518800041468294,Zhang Zh.,FALSE,Zhang Zh.,FALSE,Kecmanovic M.,TRUE,-0.03498574765459438
28,Madrid,Mutua Madrid Open,2024-04-25,Masters 1000,Outdoor,Clay,1st Round,3,Fonseca J.,Michelsen A.,242,70,241,799,4,6,6,0,6,2,NA,NA,NA,NA,2,1,Completed,1.57,2.38,1.57,2.56,1.62,2.6,1.54,2.44,24,1.6476119683606016,0.8204966441597114,2.0934064385722415,0.4374737650349586,0,0,1.6476119683606016,2.0934064385722415,0.8204966441597114,0.4374737650349586,0.3158154559941678,0.3158154559941678,Michelsen A.,FALSE,Michelsen A.,FALSE,Fonseca J.,TRUE,-0.03498574765459438
29,Rome,Internazionali BNL d'Italia,2024-05-08,Masters 1000,Outdoor,Clay,1st Round,3,Monteiro T.,Monfils G.,106,38,590,1145,6,2,7,5,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.73,2.21,1.75,2.36,1.69,2.17,20,1.559494980823586,0.3950890133773199,2.571289635831835,0.32369024536902546,0,0,1.559494980823586,2.571289635831835,0.3950890133773199,0.32369024536902546,0.02379685154032746,0.023796851540327457,Monfils G.,FALSE,Monfils G.,FALSE,Monteiro T.,TRUE,-0.03721861375127636
29,Rome,Internazionali BNL d'Italia,2024-05-08,Masters 1000,Outdoor,Clay,1st Round,3,Atmane T.,Eubanks C.,137,43,463,1053,6,4,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.5,2.63,1.55,2.6,1.56,2.63,1.51,2.54,20,0.49912321919014085,0.8796598696085669,1.9395868663373916,0.2892965909726861,0,0,0.49912321919014085,1.9395868663373916,0.8796598696085669,0.2892965909726861,0.059906382778139304,0.05990638277813929,Eubanks C.,FALSE,Eubanks C.,FALSE,Atmane T.,TRUE,-0.03721861375127636
29,Rome,Internazionali BNL d'Italia,2024-05-09,Masters 1000,Outdoor,Clay,1st Round,3,Koepfer D.,Vavassori A.,52,168,932,355,6,4,6,3,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.75,2.2,1.75,2.33,1.66,2.21,19,1.400148312211107,0.42939901285751203,2.2492060219524905,0.5843769269585841,0,0,1.400148312211107,2.2492060219524905,0.42939901285751203,0.5843769269585841,0.12083351479640295,0.12083351479640295,Vavassori A.,FALSE,Vavassori A.,FALSE,Koepfer D.,TRUE,-0.03721861375127636
29,Rome,Internazionali BNL d'Italia,2024-05-09,Masters 1000,Outdoor,Clay,1st Round,3,Munar J.,Hijikata R.,68,79,805,724,6,4,7,5,NA,NA,NA,NA,NA,NA,2,0,Completed,1.08,8,1.11,7.89,1.12,8,1.1,7.01,22,1.7454178106645646,0.29959054437843885,2.0044301478797455,0.35905631499381657,0,0,1.7454178106645646,2.0044301478797455,0.29959054437843885,0.35905631499381657,0.2898286211387159,0.2898286211387159,Hijikata R.,FALSE,Hijikata R.,FALSE,Munar J.,TRUE,-0.03721861375127636
29,Rome,Internazionali BNL d'Italia,2024-05-09,Masters 1000,Outdoor,Clay,1st Round,3,Seyboth Wild T.,Barrere G.,61,115,839,560,6,4,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.4,3,1.47,2.89,1.47,3,1.43,2.83,18,1.7591237793414198,0.4621519904732684,1.8847045136523646,0.29533091045521453,0,0,1.7591237793414198,1.8847045136523646,0.4621519904732684,0.29533091045521453,0.4094456973224729,0.4094456973224729,Barrere G.,FALSE,Barrere G.,FALSE,Seyboth Wild T.,TRUE,-0.03721861375127636
29,Rome,Internazionali BNL d'Italia,2024-05-09,Masters 1000,Outdoor,Clay,1st Round,3,Medjedovic H.,Popyrin A.,121,42,522,1057,6,3,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.83,2.02,1.95,2.06,1.81,1.99,17,1.9680381873234933,0.48777027333404094,2.2551407757164026,0.2808048659360689,0,0,1.9680381873234933,2.2551407757164026,0.48777027333404094,0.2808048659360689,0.3049870282080383,0.3049870282080383,Popyrin A.,FALSE,Popyrin A.,FALSE,Medjedovic H.,TRUE,-0.03721861375127636
29,Rome,Internazionali BNL d'Italia,2024-05-09,Masters 1000,Outdoor,Clay,1st Round,3,Napolitano S.,Wolf J.J.,125,101,506,605,6,2,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.44,2.75,1.48,2.83,1.52,2.83,1.45,2.73,21,-3.791546379379597,2.620205986155967,1.9186294209362447,0.2711489415085692,0,0,-3.791546379379597,1.9186294209362447,2.620205986155967,0.2711489415085692,0.01509041363610474,0.015090413636104744,Wolf J.J.,FALSE,Wolf J.J.,FALSE,Napolitano S.,TRUE,-0.03721861375127636
29,Rome,Internazionali BNL d'Italia,2024-05-09,Masters 1000,Outdoor,Clay,1st Round,3,Moutet C.,Safiullin R.,83,39,715,1138,3,6,7,6,6,2,NA,NA,NA,NA,2,1,Completed,1.73,2.1,1.81,2.1,1.81,2.1,1.76,2.06,30,0.9553329799729042,0.39317566185932523,2.143280943954456,0.27808658588087903,0,0,0.9553329799729042,2.143280943954456,0.39317566185932523,0.27808658588087903,0.006816856000274969,0.006816856000274966,Safiullin R.,FALSE,Safiullin R.,FALSE,Moutet C.,TRUE,-0.03721861375127636
29,Rome,Internazionali BNL d'Italia,2024-05-09,Masters 1000,Outdoor,Clay,1st Round,3,Carballes Baena R.,O Connell C.,62,66,826,807,6,7,5,0,NA,NA,NA,NA,NA,NA,0,1,Retired,1.44,2.75,1.43,3.01,1.46,3.01,1.42,2.85,18,1.6247501874927759,0.28198626015765,1.9529265281485184,0.2857978578342349,0,0,1.6247501874927759,1.9529265281485184,0.28198626015765,0.2857978578342349,0.20685283748238167,0.2068528374823817,O Connell C.,FALSE,O Connell C.,FALSE,Carballes Baena R.,TRUE,-0.03721861375127636
31,Lyon,Lyon Open,2024-05-19,ATP250,Outdoor,Clay,1st Round,3,Vukic A.,Mcdonald M.,93,74,647,735,6,2,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.65,2.31,1.68,2.31,1.64,2.25,16,1.2087891413835723,0.318506706016866,2.055348067078927,0.26230833390023894,0,0,1.2087891413835723,2.055348067078927,0.318506706016866,0.26230833390023894,0.020100105028052855,0.020100105028052852,Mcdonald M.,FALSE,Mcdonald M.,FALSE,Vukic A.,TRUE,-0.03644381450123503
31,Lyon,Lyon Open,2024-05-20,ATP250,Outdoor,Clay,1st Round,3,Rinderknech A.,Evans D.,73,60,739,831,6,3,4,6,7,6,NA,NA,NA,NA,2,1,Completed,1.67,2.2,1.68,2.3,1.73,2.3,1.66,2.19,32,1.034077988099962,0.3271452290248805,1.669270377158878,0.28888432126307095,0,0,1.034077988099962,1.669270377158878,0.3271452290248805,0.28888432126307095,0.07277912489831705,0.07277912489831703,Evans D.,FALSE,Evans D.,FALSE,Rinderknech A.,TRUE,-0.03644381450123503
32,Paris,French Open,2024-05-26,Grand Slam,Outdoor,Clay,1st Round,5,Martinez P.,Tirante T.A.,48,109,995,580,5,7,6,4,3,6,6,4,6,3,3,2,Completed,1.29,3.75,1.31,3.91,1.35,3.91,1.3,3.58,50,1.1298045592706525,0.4578594380191654,2.4017612850033974,0.9216279399908328,0,0,1.1298045592706525,2.4017612850033974,0.4578594380191654,0.9216279399908328,0.10822978318586333,0.10822978318586335,Tirante T.A.,FALSE,Tirante T.A.,FALSE,Martinez P.,TRUE,-0.035589011656938896
32,Paris,French Open,2024-05-26,Grand Slam,Outdoor,Clay,1st Round,5,Altmaier D.,Djere L.,83,52,702,960,7,5,6,4,6,7,5,7,7,6,3,2,Completed,1.53,2.5,1.61,2.49,1.61,2.55,1.56,2.44,60,1.4852105295584368,0.28301740403975906,2.2157144664976274,0.26626781802099114,0,0,1.4852105295584368,2.2157144664976274,0.28301740403975906,0.26626781802099114,0.03005994660063359,0.030059946600633585,Djere L.,FALSE,Djere L.,FALSE,Altmaier D.,TRUE,-0.035589011656938896
32,Paris,French Open,2024-05-27,Grand Slam,Outdoor,Clay,1st Round,5,Squire H.,Purcell M.,221,94,280,647,6,2,6,2,3,6,4,6,7,6,3,2,Completed,1.44,2.75,1.51,2.75,1.56,2.78,1.48,2.68,48,0,4,1.6476362116311498,0.3237381104083859,0,0,0,1.6476362116311498,4,0.3237381104083859,0.3406951938618261,0.3406951938618261,Purcell M.,FALSE,Purcell M.,FALSE,Squire H.,TRUE,-0.035589011656938896
32,Paris,French Open,2024-05-27,Grand Slam,Outdoor,Clay,1st Round,5,Zverev A.,Nadal R.,4,275,6305,205,6,3,7,6,6,3,NA,NA,NA,NA,3,0,Completed,1.3,3.5,1.31,3.81,1.34,3.81,1.31,3.49,31,3.2717891828012506,0.2389240623291692,3.281875332787787,0.912302051424121,0,0,3.2717891828012506,3.281875332787787,0.2389240623291692,0.912302051424121,0.49573338365830255,0.49573338365830255,Nadal R.,FALSE,Nadal R.,FALSE,Zverev A.,TRUE,-0.035589011656938896
32,Paris,French Open,2024-05-28,Grand Slam,Outdoor,Clay,1st Round,5,Munar J.,Bautista Agut R.,64,81,810,715,6,1,4,6,6,4,6,1,NA,NA,3,1,Completed,1.67,2.2,1.69,2.3,1.8,2.3,1.69,2.2,34,1.7549501433993282,0.2933096000311307,2.1064536921638304,0.289360832321391,0,0,1.7549501433993282,2.1064536921638304,0.2933096000311307,0.289360832321391,0.19679549017211173,0.1967954901721117,Bautista Agut R.,FALSE,Bautista Agut R.,FALSE,Munar J.,TRUE,-0.035589011656938896
32,Paris,French Open,2024-05-28,Grand Slam,Outdoor,Clay,1st Round,5,Zeppieri G.,Mannarino A.,148,22,420,1865,4,6,6,2,6,1,6,2,NA,NA,3,1,Completed,1.22,4.33,1.23,4.71,1.27,4.71,1.23,4.28,33,0.8155547746072325,0.7113015034899292,2.6228106533266855,0.2533166383928141,0,0,0.8155547746072325,2.6228106533266855,0.7113015034899292,0.2533166383928141,0.008343814385939775,0.008343814385939773,Mannarino A.,FALSE,Mannarino A.,FALSE,Zeppieri G.,TRUE,-0.035589011656938896
33,Stuttgart,Stuttgart Open,2024-06-10,ATP250,Outdoor,Grass,1st Round,3,Koepfer D.,Zhang Zh.,65,44,801,1066,4,6,7,6,7,6,NA,NA,NA,NA,2,1,Completed,1.8,2,1.79,2.08,1.81,2.12,1.76,2.02,36,1.5606056007247129,0.41283805305125587,2.209431330321917,0.28486314078923636,0,0,1.5606056007247129,2.209431330321917,0.41283805305125587,0.28486314078923636,0.097907965143567,0.09790796514356699,Zhang Zh.,FALSE,Zhang Zh.,FALSE,Koepfer D.,TRUE,-0.03556112284992218
33,Stuttgart,Stuttgart Open,2024-06-10,ATP250,Outdoor,Grass,1st Round,3,Hanfmann Y.,Squire H.,91,178,646,344,6,3,6,3,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.71,2.21,1.81,2.3,1.66,2.18,18,2.2455051707993494,0.2614517330508151,3.9839313333318898,2.434387130791708,0,0,2.2455051707993494,3.9839313333318898,0.2614517330508151,2.434387130791708,0.23884300527377053,0.23884300527377053,Squire H.,FALSE,Squire H.,FALSE,Hanfmann Y.,TRUE,-0.03556112284992218
33,Stuttgart,Stuttgart Open,2024-06-10,ATP250,Outdoor,Grass,1st Round,3,Medjedovic H.,Marozsan F.,131,42,497,1122,6,7,6,1,6,4,NA,NA,NA,NA,2,1,Completed,1.57,2.38,1.65,2.31,1.68,2.38,1.61,2.28,30,2.00154150408112,0.4572114299492343,2.3776574641059294,0.3581611955487848,0,0,2.00154150408112,2.3776574641059294,0.4572114299492343,0.3581611955487848,0.25862534055188,0.25862534055187997,Marozsan F.,FALSE,Marozsan F.,FALSE,Medjedovic H.,TRUE,-0.03556112284992218
