Date,ATP,Tournament,Round,Surface,Court,Winner,Loser,margin,B365W,B365L,mu_winner,mu_loser,sigma_winner,sigma_loser,TTT_Prob_W,TTT_Prob_L,TTT_Pct_W,TTT_Pct_L,pred,ttt_correct,bookie_pred,bookie_correct,bet365_right_ttt_wrong,ATPk
2024-01-02,2,Hong Kong Tennis Open,1st Round,Hard,Outdoor,Bautista Agut R.,Marozsan F.,2,1.62,2.3,0.2635015130770284,0.4492643046933136,0.26951417756835194,0.4582536724788755,0.4510719979775582,0.5489280020224419,45.11,54.89,Marozsan F.,FALSE,Bautista Agut R.,TRUE,TRUE,2
2024-01-02,2,Hong Kong Tennis Open,1st Round,Hard,Outdoor,Fils A.,Gojo B.,1,1.53,2.5,0.20282713299716784,0.5080862104499163,0.3440484487876852,0.7070224933350095,0.4251825138234624,0.5748174861765376,42.52,57.48,Gojo B.,FALSE,Fils A.,TRUE,TRUE,2
2024-01-08,3,Adelaide International,1st Round,Hard,Outdoor,Shevchenko A.,Etcheverry T.,1,1.73,2.1,0.27629726290497425,0.2827178478760487,0.30090875743688866,0.23418647972177295,0.4982512400084303,0.5017487599915698,49.83,50.17,Etcheverry T.,FALSE,Shevchenko A.,TRUE,TRUE,3
2024-01-08,3,Adelaide International,1st Round,Hard,Outdoor,Kecmanovic M.,Mcdonald M.,2,1.5,2.63,0.09088398745115617,0.2709881140087051,0.2679736734214153,0.2362527816490228,0.4508658159791824,0.5491341840208176,45.09,54.91,Mcdonald M.,FALSE,Kecmanovic M.,TRUE,TRUE,3
2024-01-07,4,ASB Classic,1st Round,Hard,Outdoor,Daniel T.,Vukic A.,2,1.73,2.1,-0.3550660856388911,0.032025375050379265,0.522759488325803,0.3371460506871979,0.4010814713741068,0.5989185286258931,40.11,59.89,Vukic A.,FALSE,Daniel T.,TRUE,TRUE,4
2024-01-08,4,ASB Classic,1st Round,Hard,Outdoor,Van De Zandschulp B.,Eubanks C.,2,1.44,2.75,0.19975290277244476,0.32128883060778374,0.2538510754933935,0.3380337435830623,0.46718859669866275,0.5328114033013372,46.72,53.28,Eubanks C.,FALSE,Van De Zandschulp B.,TRUE,TRUE,4
2024-01-14,5,Australian Open,1st Round,Hard,Outdoor,O Connell C.,Garin C.,1,1.44,2.75,0.056601290811801264,0.32179445397776024,0.2720000755894292,0.32514571068641707,0.4287240072358208,0.5712759927641792,42.87,57.13,Garin C.,FALSE,O Connell C.,TRUE,TRUE,5
2024-01-16,5,Australian Open,1st Round,Hard,Outdoor,Sonego L.,Evans D.,2,1.8,2,0.27914933506034595,0.2856370662708994,0.2287088314030949,0.27906186593039917,0.4982266559545471,0.5017733440454528,49.82,50.18,Evans D.,FALSE,Sonego L.,TRUE,TRUE,5
2024-02-07,8,Dallas Open,1st Round,Hard,Indoor,Koepfer D.,Kovacevic A.,2,1.36,3.2,-0.3021994561811801,0,0.5892416704267548,4,0.4718771966740943,0.5281228033259058,47.19,52.81,Kovacevic A.,FALSE,Koepfer D.,TRUE,TRUE,8
2024-02-13,12,ABN AMRO World Tennis Tournament,1st Round,Hard,Indoor,Fucsovics M.,Marozsan F.,2,1.67,2.2,0.3552270090880231,0.37310493036093745,0.26643165693831433,0.4227442502920134,0.4952449548971218,0.5047550451028782,49.52,50.48,Marozsan F.,FALSE,Fucsovics M.,TRUE,TRUE,12
2024-02-13,12,ABN AMRO World Tennis Tournament,1st Round,Hard,Indoor,De Minaur A.,Korda S.,2,1.53,2.5,0.5516756284223284,0.7994090789698983,0.21768414302123493,0.261612637084909,0.43238250010420204,0.5676174998957979,43.24,56.76,Korda S.,FALSE,De Minaur A.,TRUE,TRUE,12
2024-02-21,14,Los Cabos Open,1st Round,Hard,Outdoor,Nishioka Y.,Cobolli F.,2,1.8,2,0.052500776804708056,0.7253566247208222,0.25876999745952456,0.8554401632402407,0.3437688626165455,0.6562311373834545,34.38,65.62,Cobolli F.,FALSE,Nishioka Y.,TRUE,TRUE,14
2024-02-20,15,Rio Open,1st Round,Clay,Outdoor,Munar J.,Ofner S.,2,1.67,2.2,-0.08619358049687886,0.07263499016099546,0.37516105515121156,0.3325574876042647,0.45784902027948327,0.5421509797205167,45.78,54.22,Ofner S.,FALSE,Munar J.,TRUE,TRUE,15
2024-02-27,17,Dubai Tennis Championships,1st Round,Hard,Outdoor,Lehecka J.,Fucsovics M.,1,1.62,2.3,0.4126892462999247,0.41650162233694743,0.2433671577158622,0.25985279005094647,0.4989570896566374,0.5010429103433627,49.9,50.1,Fucsovics M.,FALSE,Lehecka J.,TRUE,TRUE,17
2024-02-27,17,Dubai Tennis Championships,1st Round,Hard,Outdoor,Humbert U.,Monfils G.,1,1.53,2.5,0.39117285273789876,0.5540888111924965,0.24165522602239392,0.5677050440740619,0.4579548178265342,0.5420451821734658,45.8,54.2,Monfils G.,FALSE,Humbert U.,TRUE,TRUE,17
2024-02-27,17,Dubai Tennis Championships,1st Round,Hard,Outdoor,Cazaux A.,Musetti L.,2,1.44,2.75,0.017048316233727694,0.44068560646083127,1.5325342779973685,0.24420728348340615,0.420047888324541,0.579952111675459,42,58,Musetti L.,FALSE,Cazaux A.,TRUE,TRUE,17
2024-03-06,19,BNP Paribas Open,1st Round,Hard,Outdoor,Nakashima B.,Eubanks C.,2,1.5,2.63,-0.12542050707918878,0.3273067382388961,0.29172947920343295,0.3211050163801098,0.37978347616012764,0.6202165238398724,37.98,62.02,Eubanks C.,FALSE,Nakashima B.,TRUE,TRUE,19
2024-03-07,19,BNP Paribas Open,1st Round,Hard,Outdoor,Coric B.,Ofner S.,1,1.3,3.5,-0.06954953556845662,0.006305355308114907,0.28617309729487306,0.32607208561131956,0.47955165996807764,0.5204483400319224,47.96,52.04,Ofner S.,FALSE,Coric B.,TRUE,TRUE,19
2024-03-07,19,BNP Paribas Open,1st Round,Hard,Outdoor,Michelsen A.,Munar J.,2,1.36,3.2,-0.0642861969398673,-0.010050469233405053,0.8265676385809873,0.36387576833534324,0.4871076249423452,0.5128923750576548,48.71,51.29,Munar J.,FALSE,Michelsen A.,TRUE,TRUE,19
2024-03-08,19,BNP Paribas Open,1st Round,Hard,Outdoor,Tabilo A.,Kotov P.,1,1.62,2.3,0.4211968275336771,0.49217232369659053,0.876316544752193,0.5086648961116397,0.4837289544399712,0.5162710455600288,48.37,51.63,Kotov P.,FALSE,Tabilo A.,TRUE,TRUE,19
2024-03-20,20,Miami Open,1st Round,Hard,Outdoor,Van Assche L.,Kotov P.,2,1.73,2.1,-0.04864515322921801,0.45052053921655694,0.3254083633264244,0.48719819402690845,0.3721787884887617,0.6278212115112383,37.22,62.78,Kotov P.,FALSE,Van Assche L.,TRUE,TRUE,20
2024-03-21,20,Miami Open,1st Round,Hard,Outdoor,Popyrin A.,Diaz Acosta F.,2,1.5,2.63,0.3227028456680457,0.3703739981353203,0.2873103541028031,0.5449851291171703,0.4876732489052455,0.5123267510947545,48.77,51.23,Diaz Acosta F.,FALSE,Popyrin A.,TRUE,TRUE,20
2024-04-02,23,Grand Prix Hassan II,1st Round,Clay,Outdoor,Fognini F.,Gaston H.,1,1.73,2.1,-0.26143643577665593,0.3104625692322488,0.5938302125631697,0.7370791719160804,0.36841011606632545,0.6315898839336745,36.84,63.16,Gaston H.,FALSE,Fognini F.,TRUE,TRUE,23
2024-04-07,24,Monte Carlo Masters,1st Round,Clay,Outdoor,Coric B.,Bublik A.,2,1.53,2.5,-0.05050090853306506,0.3526323804805786,0.28138198590290575,0.2595318812832912,0.3915979688884103,0.6084020311115896,39.16,60.84,Bublik A.,FALSE,Coric B.,TRUE,TRUE,24
2024-04-08,24,Monte Carlo Masters,1st Round,Clay,Outdoor,Ofner S.,Evans D.,2,1.8,2,-0.015469430665205515,0.2583186456384242,0.31900909411371103,0.2557359470137273,0.4262298818881332,0.5737701181118668,42.62,57.38,Evans D.,FALSE,Ofner S.,TRUE,TRUE,24
2024-04-09,24,Monte Carlo Masters,1st Round,Clay,Outdoor,Bautista Agut R.,Diaz Acosta F.,2,1.8,2,0.19057704184153243,0.227368274678179,0.25788349198921257,0.5104508829816652,0.49037926745469024,0.5096207325453097,49.04,50.96,Diaz Acosta F.,FALSE,Bautista Agut R.,TRUE,TRUE,24
2024-04-15,25,Barcelona Open,1st Round,Clay,Outdoor,Nakashima B.,Evans D.,2,1.5,2.63,-0.06742925249642348,0.2216791587951449,0.2912303555577311,0.25299666349333955,0.4218260007117588,0.5781739992882412,42.18,57.82,Evans D.,FALSE,Nakashima B.,TRUE,TRUE,25
2024-04-15,25,Barcelona Open,1st Round,Clay,Outdoor,Bautista Agut R.,Safiullin R.,2,1.67,2.2,0.22585852631528777,0.5159238980275835,0.2546868402593964,0.27576554711606444,0.4214277205178692,0.5785722794821309,42.14,57.86,Safiullin R.,FALSE,Bautista Agut R.,TRUE,TRUE,25
2024-04-16,25,Barcelona Open,1st Round,Clay,Outdoor,Munar J.,Nishioka Y.,2,1.25,4,-0.02911039597301618,0.08021179924518555,0.33667609485229966,0.25049496126328735,0.4704619550272349,0.5295380449727651,47.05,52.95,Nishioka Y.,FALSE,Munar J.,TRUE,TRUE,25
2024-04-15,26,Tiriac Open,1st Round,Clay,Outdoor,Rinderknech A.,Gaston H.,1,1.67,2.2,-0.2488977183644066,0.11585917112051965,0.32386789282440037,0.6694965865325055,0.40971421270297476,0.5902857872970253,40.97,59.03,Gaston H.,FALSE,Rinderknech A.,TRUE,TRUE,26
2024-04-16,26,Tiriac Open,1st Round,Clay,Outdoor,Borges N.,Wawrinka S.,1,1.62,2.3,-0.2134080011403341,0.34900105906002443,0.31641642346052334,0.26514094284569056,0.35132292719570646,0.6486770728042935,35.13,64.87,Wawrinka S.,FALSE,Borges N.,TRUE,TRUE,26
2024-04-16,27,BMW Open,1st Round,Clay,Outdoor,Hanfmann Y.,Shevchenko A.,1,1.67,2.2,-0.1708307823639793,0.21684666048076123,0.28870435399118777,0.27379305939076243,0.39593458784304186,0.6040654121569582,39.59,60.41,Shevchenko A.,FALSE,Hanfmann Y.,TRUE,TRUE,27
2024-04-24,28,Mutua Madrid Open,1st Round,Clay,Outdoor,Seyboth Wild T.,Safiullin R.,2,1.73,2.1,0.4468948264610078,0.46769134601486334,0.5697788052323297,0.2711404711059851,0.49464267322957073,0.5053573267704292,49.46,50.54,Safiullin R.,FALSE,Seyboth Wild T.,TRUE,TRUE,28
2024-04-25,28,Mutua Madrid Open,1st Round,Clay,Outdoor,Kecmanovic M.,Zhang Zh.,2,1.67,2.2,0.07728222588517247,0.27585359464855047,0.2503018544781062,0.26995206669613003,0.4459569914378267,0.5540430085621733,44.6,55.4,Zhang Zh.,FALSE,Kecmanovic M.,TRUE,TRUE,28
2024-05-09,29,Internazionali BNL d'Italia,1st Round,Clay,Outdoor,Moutet C.,Safiullin R.,1,1.73,2.1,-0.32649223334833744,0.43698800574202806,0.42570883045619223,0.2674011220261189,0.305488914256572,0.694511085743428,30.55,69.45,Safiullin R.,FALSE,Moutet C.,TRUE,TRUE,29
2024-05-09,29,Internazionali BNL d'Italia,1st Round,Clay,Outdoor,Fognini F.,Evans D.,1,1.53,2.5,-0.1538442501402212,0.16963430086133832,0.5651452995849976,0.2495791267811916,0.41698756621298505,0.583012433787015,41.7,58.3,Evans D.,FALSE,Fognini F.,TRUE,TRUE,29
2024-05-09,29,Internazionali BNL d'Italia,1st Round,Clay,Outdoor,Karatsev A.,Mcdonald M.,1,1.25,4,0.19372847257286213,0.22763842877383023,0.29021261716450447,0.23321443493189178,0.4907501999715672,0.5092498000284328,49.08,50.92,Mcdonald M.,FALSE,Karatsev A.,TRUE,TRUE,29
2024-05-19,30,Geneva Open,1st Round,Clay,Outdoor,Baez S.,Nagal S.,2,1.2,4.5,0.15023635944696398,0.30201544143007075,0.25115927196893495,0.8348958822295752,0.4636040329463554,0.5363959670536447,46.36,53.64,Nagal S.,FALSE,Baez S.,TRUE,TRUE,30
2024-05-21,30,Geneva Open,1st Round,Clay,Outdoor,Hanfmann Y.,Murray A.,2,1.62,2.3,-0.12888816401203929,0.16606210394131096,0.2774490954938258,0.28327415131091077,0.4204206766046152,0.5795793233953848,42.04,57.96,Murray A.,FALSE,Hanfmann Y.,TRUE,TRUE,30
2024-05-19,31,Lyon Open,1st Round,Clay,Outdoor,Vukic A.,Mcdonald M.,2,1.67,2.2,-0.07295552199670585,0.21175131524096538,0.2979544249187922,0.23919077787140908,0.42295098899167766,0.5770490110083224,42.3,57.7,Mcdonald M.,FALSE,Vukic A.,TRUE,TRUE,31
2024-05-20,31,Lyon Open,1st Round,Clay,Outdoor,Rinderknech A.,Evans D.,1,1.67,2.2,-0.22380799076637944,0.14252915620833825,0.31464350703284866,0.24795321955008218,0.4015902429158005,0.5984097570841995,40.16,59.84,Evans D.,FALSE,Rinderknech A.,TRUE,TRUE,31
2024-05-26,32,French Open,1st Round,Clay,Outdoor,Muller A.,Nardi L.,3,1.53,2.5,-0.5003571534148079,0.1526948960064372,0.4413455930146581,0.8291144288473304,0.3502422202781448,0.6497577797218552,35.02,64.98,Nardi L.,FALSE,Muller A.,TRUE,TRUE,32
2024-05-26,32,French Open,1st Round,Clay,Outdoor,Altmaier D.,Djere L.,1,1.53,2.5,-0.09961163863687696,0.44451010353848813,0.2582226242109711,0.2503983459836522,0.35461869283593783,0.6453813071640622,35.46,64.54,Djere L.,FALSE,Altmaier D.,TRUE,TRUE,32
2024-05-27,32,French Open,1st Round,Clay,Outdoor,Lajovic D.,Safiullin R.,1,1.62,2.3,0.38964920047436646,0.39856927498245287,0.24487221362702802,0.263976100087969,0.4975615033898746,0.5024384966101254,49.76,50.24,Safiullin R.,FALSE,Lajovic D.,TRUE,TRUE,32
2024-05-28,32,French Open,1st Round,Clay,Outdoor,Etcheverry T.,Cazaux A.,2,1.2,4.5,0.3560356985293277,0.8390146549836571,0.2299553448266562,1.0149699494936808,0.3916324077209917,0.6083675922790083,39.16,60.84,Cazaux A.,FALSE,Etcheverry T.,TRUE,TRUE,32
2024-05-28,32,French Open,1st Round,Clay,Outdoor,Munar J.,Bautista Agut R.,2,1.67,2.2,0.07101495932418753,0.2509103493870529,0.30664920802648926,0.2481875191693075,0.45124071524429854,0.5487592847557015,45.12,54.88,Bautista Agut R.,FALSE,Munar J.,TRUE,TRUE,32
2024-05-28,32,French Open,1st Round,Clay,Outdoor,Rinderknech A.,Walton A.,3,1.14,5.5,-0.18465822540638033,0,0.30901334392505603,4,0.4826876038897946,0.5173123961102054,48.27,51.73,Walton A.,FALSE,Rinderknech A.,TRUE,TRUE,32
2024-06-10,33,Stuttgart Open,1st Round,Grass,Outdoor,Koepfer D.,Zhang Zh.,1,1.8,2,-0.2089805557224375,0.2638141070766362,0.40696161986488605,0.2588972653813824,0.37584221526991973,0.6241577847300803,37.58,62.42,Zhang Zh.,FALSE,Koepfer D.,TRUE,TRUE,33
2024-06-11,33,Stuttgart Open,1st Round,Grass,Outdoor,Nakashima B.,Eubanks C.,2,1.57,2.38,-0.07268920381720169,0.1438383596364178,0.28240603319983276,0.2997150600167789,0.4415649693938516,0.5584350306061484,44.16,55.84,Eubanks C.,FALSE,Nakashima B.,TRUE,TRUE,33
2024-06-11,34,Rosmalen Grass Court Championships,1st Round,Grass,Outdoor,Fils A.,Cazaux A.,2,1.62,2.3,0.2101281172179123,0.3235402072408039,0.300301529267002,0.8292257382032026,0.4728740995446384,0.5271259004553617,47.29,52.71,Cazaux A.,FALSE,Fils A.,TRUE,TRUE,34
2024-06-11,34,Rosmalen Grass Court Championships,1st Round,Grass,Outdoor,Vukic A.,Purcell M.,2,1.62,2.3,-0.03134399078662666,0.045660742440645136,0.28731980550936354,0.2994471359793919,0.47916574846380067,0.5208342515361993,47.92,52.08,Purcell M.,FALSE,Vukic A.,TRUE,TRUE,34
2024-06-19,35,Halle Open,1st Round,Grass,Outdoor,Struff J.L.,Darderi L.,1,1.17,5,0.5246475001174441,1.3582101701076805,0.26395831964448624,0.813908649641825,0.30702557363880156,0.6929744263611984,30.7,69.3,Darderi L.,FALSE,Struff J.L.,TRUE,TRUE,35
2024-06-18,36,Queen's Club Championships,1st Round,Grass,Outdoor,Draper J.,Navone M.,2,1.06,10,0.7032285557134744,1.6188113727790443,0.2981268584718322,1.0356506548059166,0.3032984205222007,0.6967015794777993,30.33,69.67,Navone M.,FALSE,Draper J.,TRUE,TRUE,36
2024-06-24,37,Eastbourne International,1st Round,Grass,Outdoor,Purcell M.,Djere L.,1,1.53,2.5,-0.0016502962428436763,0.4104764427810404,0.29570077989753796,0.2531938159507918,0.3893678171042505,0.6106321828957495,38.94,61.06,Djere L.,FALSE,Purcell M.,TRUE,TRUE,37
2024-06-24,37,Eastbourne International,1st Round,Grass,Outdoor,Giron M.,Cerundolo F.,2,1.73,2.1,0.12205964963810197,0.5153438346818513,0.22204392162719244,0.23861356317014032,0.39319953059790086,0.6068004694020992,39.32,60.68,Cerundolo F.,FALSE,Giron M.,TRUE,TRUE,37
2024-06-23,38,Mallorca Championships,1st Round,Grass,Outdoor,Michelsen A.,Borges N.,2,1.67,2.2,-0.35747647288448214,-0.2224039708561034,0.47142271319345797,0.2899349284603394,0.46456383955631086,0.5354361604436891,46.46,53.54,Borges N.,FALSE,Michelsen A.,TRUE,TRUE,38
2024-06-24,38,Mallorca Championships,1st Round,Grass,Outdoor,Ofner S.,Munar J.,1,1.44,2.75,-0.019456360902050693,0.08827609415242339,0.28084110660152234,0.29971736988552283,0.4708412147288446,0.5291587852711555,47.08,52.92,Munar J.,FALSE,Ofner S.,TRUE,TRUE,38
2024-07-01,39,Wimbledon,1st Round,Grass,Outdoor,Nakashima B.,Baez S.,3,1.14,5.5,-0.017182346026284153,0.15649232047873385,0.2788800376397426,0.24909859035728,0.45274604623310244,0.5472539537668976,45.27,54.73,Baez S.,FALSE,Nakashima B.,TRUE,TRUE,39
2024-07-01,39,Wimbledon,1st Round,Grass,Outdoor,Sonego L.,Navone M.,3,1.07,9,0.29518984713737983,0.9569884971811619,0.2180071442201449,0.8367889156596896,0.34485690259804225,0.6551430974019578,34.49,65.51,Navone M.,FALSE,Sonego L.,TRUE,TRUE,39
2024-07-03,39,Wimbledon,1st Round,Grass,Outdoor,Safiullin R.,Cerundolo F.,1,1.73,2.1,0.3507521734426138,0.47395752319421924,0.254365456774804,0.23576593329828552,0.46628491051593846,0.5337150894840615,46.63,53.37,Cerundolo F.,FALSE,Safiullin R.,TRUE,TRUE,39
2024-07-16,40,Nordea Open,1st Round,Clay,Outdoor,Carballes Baena R.,Safiullin R.,1,1.62,2.3,-0.012777309230988193,0.3693552627494934,0.2629688914052575,0.25164453895069233,0.3967837817881509,0.6032162182118491,39.68,60.32,Safiullin R.,FALSE,Carballes Baena R.,TRUE,TRUE,40
2024-07-16,42,European Open,1st Round,Clay,Outdoor,Zhang Zh.,Seyboth Wild T.,2,1.67,2.2,0.21077037157726738,0.45183512366125855,0.24934796588730498,0.4647880845055652,0.43655397156138154,0.5634460284386185,43.66,56.34,Seyboth Wild T.,FALSE,Zhang Zh.,TRUE,TRUE,42
2024-07-21,46,Croatia Open,1st Round,Clay,Outdoor,Marozsan F.,Shevchenko A.,1,1.57,2.38,0.14047133657387909,0.27966122956263567,0.31481106493904093,0.2507955915358661,0.4622913276889923,0.5377086723110077,46.23,53.77,Shevchenko A.,FALSE,Marozsan F.,TRUE,TRUE,46
2024-07-29,47,Citi Open,1st Round,Hard,Outdoor,Goffin D.,Ugo Carabelli C.,2,1.29,3.75,-0.509910627124057,0,0.5186774760966916,4,0.4525192858305549,0.5474807141694451,45.25,54.75,Ugo Carabelli C.,FALSE,Goffin D.,TRUE,TRUE,47
2024-08-07,48,Canadian Open,1st Round,Hard,Outdoor,Paul T.,Darderi L.,2,1.13,6,0.6203146891755373,0.7589841190912853,0.22408916746606453,0.6185491645691379,0.46457873403587135,0.5354212659641286,46.46,53.54,Darderi L.,FALSE,Paul T.,TRUE,TRUE,48
2024-08-07,48,Canadian Open,1st Round,Hard,Outdoor,Rinderknech A.,Mannarino A.,1,1.5,2.63,-0.09494044040365562,0.4336191235145821,0.2944309339446543,0.23261641208030537,0.35895689476183457,0.6410431052381654,35.9,64.1,Mannarino A.,FALSE,Rinderknech A.,TRUE,TRUE,48
2024-08-08,48,Canadian Open,1st Round,Hard,Outdoor,Kokkinakis T.,Monfils G.,2,1.73,2.1,0.19843528196491403,0.6765961248519033,0.3422421419242955,0.39799928405023116,0.37562923188324304,0.624370768116757,37.56,62.44,Monfils G.,FALSE,Kokkinakis T.,TRUE,TRUE,48
2024-08-13,49,Western & Southern Financial Group Masters,1st Round,Hard,Outdoor,Zhang Zh.,Mpetshi G.,2,1.8,2,0.24809405960467684,0.7440076700874741,0.2472410324151311,0.8167143768721266,0.38199617433894767,0.6180038256610523,38.2,61.8,Mpetshi G.,FALSE,Zhang Zh.,TRUE,TRUE,49
2024-08-13,49,Western & Southern Financial Group Masters,1st Round,Hard,Outdoor,Tiafoe F.,Davidovich Fokina A.,2,1.67,2.2,0.5127087725908849,0.6025900444642688,0.24068755098643685,0.22606897185292119,0.4753248434437538,0.5246751565562462,47.53,52.47,Davidovich Fokina A.,FALSE,Tiafoe F.,TRUE,TRUE,49
2024-08-13,49,Western & Southern Financial Group Masters,1st Round,Hard,Outdoor,Michelsen A.,Griekspoor T.,1,1.8,2,-0.2175515573469021,0.5558268031275939,0.4461051216358781,0.23352310801285828,0.3032135745365313,0.6967864254634687,30.32,69.68,Griekspoor T.,FALSE,Michelsen A.,TRUE,TRUE,49
2024-08-13,49,Western & Southern Financial Group Masters,1st Round,Hard,Outdoor,Nishioka Y.,Kecmanovic M.,2,1.8,2,0.01975869048529673,0.11132277474714923,0.23976968321687722,0.2307592031394409,0.4748735871259747,0.5251264128740253,47.49,52.51,Kecmanovic M.,FALSE,Nishioka Y.,TRUE,TRUE,49
2024-08-14,49,Western & Southern Financial Group Masters,1st Round,Hard,Outdoor,Borges N.,Mannarino A.,1,1.33,3.4,-0.27852035160742883,0.40753312529443914,0.27657776649233773,0.2324782104040849,0.31917166145784376,0.6808283385421563,31.92,68.08,Mannarino A.,FALSE,Borges N.,TRUE,TRUE,49
2024-08-18,50,Winston-Salem Open at Wake Forest University,1st Round,Hard,Outdoor,Cazaux A.,Van De Zandschulp B.,2,1.8,2,-0.04681415292414183,0.19853455839031023,0.6116400544203171,0.24150970888146572,0.43749923777966093,0.5625007622203391,43.75,56.25,Van De Zandschulp B.,FALSE,Cazaux A.,TRUE,TRUE,50
2024-08-19,50,Winston-Salem Open at Wake Forest University,1st Round,Hard,Outdoor,Goffin D.,Munar J.,1,1.73,2.1,-0.5222184174957324,0.06276445597444348,0.5152846026971575,0.28634365093791225,0.3513037449166567,0.6486962550833433,35.13,64.87,Munar J.,FALSE,Goffin D.,TRUE,TRUE,50
2024-08-26,51,US Open,1st Round,Hard,Outdoor,Shang J.,Bublik A.,1,1.67,2.2,0,0.3046703855419054,4,0.25801338644082983,0.4714286555135466,0.5285713444864534,47.14,52.86,Bublik A.,FALSE,Shang J.,TRUE,TRUE,51
2024-08-26,51,US Open,1st Round,Hard,Outdoor,Baez S.,Darderi L.,2,1.73,2.1,0.12342598405280834,0.7029266433952258,0.2429976974001763,0.5278389768510816,0.35233619466838084,0.6476638053316192,35.23,64.77,Darderi L.,FALSE,Baez S.,TRUE,TRUE,51
2024-08-27,51,US Open,1st Round,Hard,Outdoor,Bergs Z.,Kotov P.,1,1.8,2,-0.4806027875842346,0.2682718214964237,1.0214179993539638,0.37923372106391,0.3374329949021414,0.6625670050978586,33.74,66.26,Kotov P.,FALSE,Bergs Z.,TRUE,TRUE,51
2024-09-19,52,Chengdu Open,1st Round,Hard,Outdoor,O Connell C.,Kotov P.,2,1.67,2.2,0.05298057195419678,0.20285580886213248,0.24804333427667646,0.37222684078627516,0.4597577399261373,0.5402422600738628,45.98,54.02,Kotov P.,FALSE,O Connell C.,TRUE,TRUE,52
2024-09-19,53,Hangzhou Open,1st Round,Hard,Outdoor,Hijikata R.,Dzumhur D.,1,1.73,2.1,-0.09768972309543708,0,0.34033307057502865,4,0.49084429612586483,0.5091557038741352,49.08,50.92,Dzumhur D.,FALSE,Hijikata R.,TRUE,TRUE,53
2024-09-26,55,Japan Open Tennis Championships,1st Round,Hard,Outdoor,O Connell C.,Etcheverry T.,2,1.73,2.1,0.0891949298136614,0.45847303847373083,0.2460894924040811,0.22847644242285808,0.3997264035620418,0.6002735964379582,39.97,60.03,Etcheverry T.,FALSE,O Connell C.,TRUE,TRUE,55
2024-10-04,56,Shanghai Masters,1st Round,Hard,Outdoor,Michelsen A.,Bu Y.,2,1.57,2.38,0.025521151154398736,0.9650160926589398,0.41126690082820566,1.7851057270868351,0.342385535015954,0.6576144649840461,34.24,65.76,Bu Y.,FALSE,Michelsen A.,TRUE,TRUE,56
2024-10-15,59,Nordic Open,1st Round,Hard,Indoor,Kecmanovic M.,Norrie C.,2,1.8,2,0.10561612226615322,0.2566182104222966,0.2258886017579825,0.2604926863104552,0.45868942284197206,0.541310577158028,45.87,54.13,Norrie C.,FALSE,Kecmanovic M.,TRUE,TRUE,59
2024-11-04,63,Belgrade Open,1st Round,Hard,Indoor,Altmaier D.,Darderi L.,2,1.8,2,-0.154393649894304,0.1402675275069567,0.24897241839713474,0.40924252795138455,0.42177944185086824,0.5782205581491318,42.18,57.82,Darderi L.,FALSE,Altmaier D.,TRUE,TRUE,63
2024-11-04,63,Belgrade Open,1st Round,Hard,Indoor,Shapovalov D.,Fucsovics M.,1,1.57,2.38,0.234016301170827,0.3112554337535608,0.35791021302591236,0.24707747973678565,0.47918325752455726,0.5208167424754427,47.92,52.08,Fucsovics M.,FALSE,Shapovalov D.,TRUE,TRUE,63
