ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,margin,mu_generic_w,sigma_generic_w,mu_generic_l,sigma_generic_l,mu_winner,mu_loser,sigma_winner,sigma_loser,denom,z_val,TTT_Prob_W,TTT_Prob_L,pred,ttt_correct,bookie_pred,bookie_correct,ATPk
32,Paris,French Open,2024-05-26,Grand Slam,Outdoor,Clay,1st Round,5,Muller A.,Nardi L.,90,72,670,748,6,4,6,1,6,3,NA,NA,NA,NA,3,0,Completed,1.53,2.5,1.6,2.52,1.62,2.54,1.56,2.44,3,-0.5198995090923635,0.441406645478832,0.1643953659561994,0.8294616202799423,-0.5198995090923635,0.1643953659561994,0.441406645478832,0.8294616202799423,1.6978946982043093,-0.4030255090449791,0.3434647293828479,0.6565352706171521,Nardi L.,FALSE,Muller A.,TRUE,32
32,Paris,French Open,2024-05-26,Grand Slam,Outdoor,Clay,1st Round,5,Altmaier D.,Djere L.,83,52,702,960,7,5,6,4,6,7,5,7,7,6,3,2,Completed,1.53,2.5,1.61,2.49,1.61,2.55,1.56,2.44,1,-0.10298505047666023,0.25825201158875766,0.4620440187313283,0.25036884768624995,-0.10298505047666023,0.4620440187313283,0.25825201158875766,0.25036884768624995,1.459239069303375,-0.38720801895588447,0.34930110701809125,0.6506988929819087,Djere L.,FALSE,Altmaier D.,TRUE,32
32,Paris,French Open,2024-05-27,Grand Slam,Outdoor,Clay,1st Round,5,Lajovic D.,Safiullin R.,61,42,831,1087,4,6,7,5,6,4,6,7,6,4,3,2,Completed,1.62,2.3,1.67,2.35,1.68,2.35,1.64,2.29,1,0.4016404102127956,0.2449520344238997,0.416951634118833,0.26403540786037616,0.4016404102127956,0.416951634118833,0.2449520344238997,0.26403540786037616,1.4593547189673943,-0.010491776746966127,0.49581446344805924,0.5041855365519408,Safiullin R.,FALSE,Lajovic D.,TRUE,32
32,Paris,French Open,2024-05-28,Grand Slam,Outdoor,Clay,1st Round,5,Etcheverry T.,Cazaux A.,29,77,1550,725,3,6,6,2,6,1,6,4,NA,NA,3,1,Completed,1.2,4.5,1.22,4.85,1.23,4.85,1.2,4.54,2,0.369205898794067,0.22991561669144572,0.8762753210455203,1.0154779002834646,0.369205898794067,0.8762753210455203,0.22991561669144572,1.0154779002834646,1.7561482160577226,-0.2887395366831535,0.3863903523890253,0.6136096476109747,Cazaux A.,FALSE,Etcheverry T.,TRUE,32
32,Paris,French Open,2024-05-28,Grand Slam,Outdoor,Clay,1st Round,5,Munar J.,Bautista Agut R.,64,81,810,715,6,1,4,6,6,4,6,1,NA,NA,3,1,Completed,1.67,2.2,1.69,2.3,1.8,2.3,1.69,2.2,2,0.07301537245808512,0.30671665820456245,0.25936430246957465,0.24820682744184233,0.07301537245808512,0.25936430246957465,0.30671665820456245,0.24820682744184233,1.4682240079800217,-0.1269213205877677,0.4495013358595673,0.5504986641404327,Bautista Agut R.,FALSE,Munar J.,TRUE,32
32,Paris,French Open,2024-05-28,Grand Slam,Outdoor,Clay,1st Round,5,Rinderknech A.,Walton A.,69,96,772,635,6,2,6,4,7,5,NA,NA,NA,NA,3,0,Completed,1.14,5.5,1.19,5.48,1.19,5.5,1.17,5.13,3,-0.1943152600508538,0.3091361785586975,NA,NA,-0.1943152600508538,0,0.3091361785586975,4,4.253888242172551,-0.045679446423729474,0.4817828730418685,0.5182171269581315,Walton A.,FALSE,Rinderknech A.,TRUE,32
33,Stuttgart,Stuttgart Open,2024-06-10,ATP250,Outdoor,Grass,1st Round,3,Koepfer D.,Zhang Zh.,65,44,801,1066,4,6,7,6,7,6,NA,NA,NA,NA,2,1,Completed,1.8,2,1.79,2.08,1.81,2.12,1.76,2.02,1,-0.2172715765628578,0.4070651676740994,0.2684495366045289,0.25893283966448505,-0.2172715765628578,0.2684495366045289,0.4070651676740994,0.25893283966448505,1.494238356551677,-0.32506267225552143,0.37256681966386235,0.6274331803361377,Zhang Zh.,FALSE,Koepfer D.,TRUE,33
33,Stuttgart,Stuttgart Open,2024-06-11,ATP250,Outdoor,Grass,1st Round,3,Nakashima B.,Eubanks C.,70,45,750,1017,7,6,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.57,2.38,1.62,2.38,1.69,2.42,1.57,2.34,2,-0.07302164020132446,0.28244211410149045,0.1490098478116667,0.2996393152143714,-0.07302164020132446,0.1490098478116667,0.28244211410149045,0.2996393152143714,1.4729417052416762,-0.15074017337065002,0.4400903407686648,0.5599096592313352,Eubanks C.,FALSE,Nakashima B.,TRUE,33
34,'s-Hertogenbosch,Rosmalen Grass Court Championships,2024-06-11,ATP250,Outdoor,Grass,1st Round,3,Fils A.,Cazaux A.,38,75,1155,735,6,4,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.62,2.3,1.72,2.19,1.74,2.32,1.64,2.21,2,0.21808239299259768,0.30037411149249016,0.3359797378022664,0.8296689851469908,0.21808239299259768,0.3359797378022664,0.30037411149249016,0.8296689851469908,1.6669058856965322,-0.0707282551590513,0.47180701638992684,0.5281929836100732,Cazaux A.,FALSE,Fils A.,TRUE,34
34,'s-Hertogenbosch,Rosmalen Grass Court Championships,2024-06-11,ATP250,Outdoor,Grass,1st Round,3,Vukic A.,Purcell M.,87,100,674,612,6,3,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.62,2.3,1.65,2.32,1.7,2.34,1.63,2.23,2,-0.03187320493780524,0.28731239983172,0.04530646897249234,0.29950413359531286,-0.03187320493780524,0.04530646897249234,0.28731239983172,0.29950413359531286,1.473855875293694,-0.05236582165465673,0.47911860355195063,0.5208813964480494,Purcell M.,FALSE,Vukic A.,TRUE,34
35,Halle,Halle Open,2024-06-19,ATP500,Outdoor,Grass,1st Round,3,Struff J.L.,Darderi L.,41,34,1080,1231,6,7,7,5,7,6,NA,NA,NA,NA,2,1,Completed,1.17,5,1.21,5.04,1.22,5.05,1.18,4.69,1,0.5432633430709626,0.2640348584008512,1.413652682863181,0.8134782892496684,0.5432633430709626,1.413652682863181,0.2640348584008512,0.8134782892496684,1.6527133246668415,-0.5266426589545854,0.29922088109011585,0.7007791189098842,Darderi L.,FALSE,Struff J.L.,TRUE,35
36,Queens Club,Queen's Club Championships,2024-06-18,ATP500,Outdoor,Grass,1st Round,3,Draper J.,Navone M.,31,29,1371,1382,6,3,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.06,10,1.09,9.38,1.09,10,1.07,8.26,2,0.735321071981623,0.29822121890543907,1.6929926073943298,1.0361256432884822,0.735321071981623,1.6929926073943298,0.29822121890543907,1.0361256432884822,1.7783397437175543,-0.53852000934913,0.2951090474275516,0.7048909525724484,Navone M.,FALSE,Draper J.,TRUE,36
37,Eastbourne,Eastbourne International,2024-06-24,ATP250,Outdoor,Grass,1st Round,3,Purcell M.,Djere L.,94,52,627,936,6,1,4,6,6,3,NA,NA,NA,NA,2,1,Completed,1.53,2.5,1.59,2.5,1.59,2.75,1.54,2.45,1,-0.00423330795690899,0.295761640801405,0.4271825544213177,0.2531656473580657,-0.00423330795690899,0.4271825544213177,0.295761640801405,0.2531656473580657,1.4668223454705644,-0.2941159600618343,0.38433464780592397,0.615665352194076,Djere L.,FALSE,Purcell M.,TRUE,37
37,Eastbourne,Eastbourne International,2024-06-24,ATP250,Outdoor,Grass,1st Round,3,Giron M.,Cerundolo F.,46,27,1005,1565,7,6,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.73,2.1,1.76,2.17,1.76,2.25,1.7,2.13,2,0.12814477355796897,0.2220584366369417,0.5339048442920157,0.23861068642671543,0.12814477355796897,0.5339048442920157,0.2220584366369417,0.23861068642671543,1.4512908078530198,-0.2795856409607607,0.38989771239544774,0.6101022876045523,Cerundolo F.,FALSE,Giron M.,TRUE,37
38,Mallorca,Mallorca Championships,2024-06-23,ATP250,Outdoor,Grass,1st Round,3,Michelsen A.,Borges N.,62,51,844,936,6,3,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.81,2.1,1.81,2.29,1.72,2.1,2,-0.3728208351130839,0.47135575478890385,-0.23808302745722376,0.28993062359957866,-0.3728208351130839,-0.23808302745722376,0.47135575478890385,0.28993062359957866,1.5186296500705687,-0.08872328263154815,0.4646509143193744,0.5353490856806256,Borges N.,FALSE,Michelsen A.,TRUE,38
38,Mallorca,Mallorca Championships,2024-06-24,ATP250,Outdoor,Grass,1st Round,3,Ofner S.,Munar J.,54,63,883,835,3,6,6,4,7,6,NA,NA,NA,NA,2,1,Completed,1.44,2.75,1.5,2.76,1.54,2.78,1.46,2.67,1,-0.02457531575697995,0.2808380542903113,0.09116516084795268,0.2997884798895184,-0.02457531575697995,0.09116516084795268,0.2808380542903113,0.2997884798895184,1.4726653202313267,-0.07859251862246072,0.46867836920358813,0.5313216307964119,Munar J.,FALSE,Ofner S.,TRUE,38
39,London,Wimbledon,2024-07-01,Grand Slam,Outdoor,Grass,1st Round,5,Nakashima B.,Baez S.,65,18,825,2020,6,2,6,3,6,4,NA,NA,NA,NA,3,0,Completed,1.14,5.5,1.17,5.92,1.18,6,1.16,5.37,3,-0.01519048020979702,0.278920143979742,0.16066389931979438,0.24910631084510856,-0.01519048020979702,0.16066389931979438,0.278920143979742,0.24910631084510856,1.462822750992252,-0.12021578103724942,0.4521561084876593,0.5478438915123407,Baez S.,FALSE,Nakashima B.,TRUE,39
39,London,Wimbledon,2024-07-01,Grand Slam,Outdoor,Grass,1st Round,5,Sonego L.,Navone M.,54,32,881,1282,6,4,7,6,6,4,NA,NA,NA,NA,3,0,Completed,1.07,9,1.09,9.33,1.09,9.95,1.08,8.29,3,0.3029181488415426,0.21804174515420988,1.0004256340950517,0.837234219405153,0.3029181488415426,1.0004256340950517,0.21804174515420988,0.837234219405153,1.6578610740266655,-0.4207273433107279,0.33697709608514703,0.663022903914853,Navone M.,FALSE,Sonego L.,TRUE,39
39,London,Wimbledon,2024-07-03,Grand Slam,Outdoor,Grass,1st Round,5,Safiullin R.,Cerundolo F.,44,30,1045,1315,6,7,3,6,7,5,6,3,6,4,3,2,Completed,1.73,2.1,1.76,2.19,1.78,2.19,1.73,2.1,1,0.3685543902004112,0.25441592127226803,0.4908209756799846,0.23576690255746943,0.3685543902004112,0.4908209756799846,0.25441592127226803,0.23576690255746943,1.4561296279309612,-0.08396682763285576,0.466541403156284,0.533458596843716,Cerundolo F.,FALSE,Safiullin R.,TRUE,39
40,Bastad,Nordea Open,2024-07-16,ATP250,Outdoor,Clay,1st Round,3,Carballes Baena R.,Safiullin R.,54,67,906,785,5,7,7,6,6,3,NA,NA,NA,NA,2,1,Completed,1.62,2.3,1.61,2.46,1.65,2.46,1.6,2.3,1,-0.01305333176814443,0.2629279964429265,0.3871401114704416,0.2516922741929084,-0.01305333176814443,0.3871401114704416,0.2629279964429265,0.2516922741929084,1.46030138403067,-0.27404852697871646,0.3920236647341362,0.6079763352658638,Safiullin R.,FALSE,Carballes Baena R.,TRUE,40
42,Hamburg,European Open,2024-07-16,ATP250,Outdoor,Clay,1st Round,3,Zhang Zh.,Seyboth Wild T.,34,72,1261,755,7,6,6,0,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.75,2.18,1.75,2.27,1.67,2.18,2,0.21348048962260405,0.2493833184488433,0.4717814730981598,0.4649391723723713,0.21348048962260405,0.4717814730981598,0.2493833184488433,0.4649391723723713,1.5094238879542297,-0.17112554368384836,0.4320625255800702,0.5679374744199298,Seyboth Wild T.,FALSE,Zhang Zh.,TRUE,42
46,Umag,Croatia Open,2024-07-21,ATP250,Outdoor,Clay,1st Round,3,Marozsan F.,Shevchenko A.,49,58,995,885,6,4,4,6,7,6,NA,NA,NA,NA,2,1,Completed,1.57,2.38,1.67,2.34,1.67,2.46,1.59,2.31,1,0.1417834118531464,0.31492481150944346,0.28889926619428347,0.25074452475261966,0.1417834118531464,0.28889926619428347,0.31492481150944346,0.25074452475261966,1.4703912586783408,-0.10005218235136405,0.46015144885971804,0.539848551140282,Shevchenko A.,FALSE,Marozsan F.,TRUE,46
47,Washington,Citi Open,2024-07-29,ATP500,Outdoor,Hard,1st Round,3,Goffin D.,Ugo Carabelli C.,100,92,619,663,6,2,7,5,NA,NA,NA,NA,NA,NA,2,0,Completed,1.29,3.75,1.24,4.46,1.33,4.46,1.25,3.87,2,-0.5304744945620704,0.5188946942143163,NA,NA,-0.5304744945620704,0,0.5188946942143163,4,4.2742545202273305,-0.12410924339008632,0.45061438978985563,0.5493856102101444,Ugo Carabelli C.,FALSE,Goffin D.,TRUE,47
48,Montreal,Canadian Open,2024-08-07,Masters 1000,Outdoor,Hard,1st Round,3,Paul T.,Darderi L.,12,32,3375,1331,6,4,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.13,6,1.14,6.72,1.17,7,1.14,5.93,2,0.6439384719697255,0.22410657350921095,0.7939241189126566,0.6183251923330587,0.6439384719697255,0.7939241189126566,0.22410657350921095,0.6183251923330587,1.5596633610378086,-0.09616539741186826,0.4616946061378201,0.5383053938621799,Darderi L.,FALSE,Paul T.,TRUE,48
48,Montreal,Canadian Open,2024-08-07,Masters 1000,Outdoor,Hard,1st Round,3,Rinderknech A.,Mannarino A.,65,31,786,1340,6,4,2,6,6,4,NA,NA,NA,NA,2,1,Completed,1.5,2.63,1.56,2.57,1.56,2.63,1.52,2.53,1,-0.10179355305291006,0.2945247638234805,0.4474835738549925,0.2326473200984286,-0.10179355305291006,0.4474835738549925,0.2945247638234805,0.2326473200984286,1.4631710809246667,-0.3754018474454682,0.3536808155701141,0.6463191844298859,Mannarino A.,FALSE,Rinderknech A.,TRUE,48
48,Montreal,Canadian Open,2024-08-08,Masters 1000,Outdoor,Hard,1st Round,3,Kokkinakis T.,Monfils G.,81,34,697,1315,6,3,6,3,NA,NA,NA,NA,NA,NA,2,0,Completed,1.73,2.1,1.84,2.05,1.84,2.12,1.78,2.04,2,0.20460864595666384,0.34233338474819147,0.7091999157669947,0.3980037344974861,0.20460864595666384,0.7091999157669947,0.34233338474819147,0.3980037344974861,1.5085089058361898,-0.3344967125206517,0.36900238560532017,0.6309976143946798,Monfils G.,FALSE,Kokkinakis T.,TRUE,48
49,Cincinnati,Western & Southern Financial Group Masters,2024-08-13,Masters 1000,Outdoor,Hard,1st Round,3,Zhang Zh.,Mpetshi G.,44,48,1161,1052,6,3,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.88,2.02,1.91,2.02,1.84,1.95,2,0.2526607991763056,0.2472785300197707,0.7666623210071074,0.8170349387232624,0.2526607991763056,0.7666623210071074,0.2472785300197707,0.8170349387232624,1.6518755287561058,-0.3111623805080852,0.37783859019336263,0.6221614098066374,Mpetshi G.,FALSE,Zhang Zh.,TRUE,49
49,Cincinnati,Western & Southern Financial Group Masters,2024-08-13,Masters 1000,Outdoor,Hard,1st Round,3,Tiafoe F.,Davidovich Fokina A.,27,53,1515,935,6,3,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.74,2.2,1.74,2.22,1.68,2.18,2,0.5301259106660022,0.2406913568520183,0.6256347055542733,0.2260472637369986,0.5301259106660022,0.6256347055542733,0.2406913568520183,0.2260472637369986,1.4522498733710565,-0.0657660893208204,0.47378202728279617,0.5262179727172038,Davidovich Fokina A.,FALSE,Tiafoe F.,TRUE,49
49,Cincinnati,Western & Southern Financial Group Masters,2024-08-13,Masters 1000,Outdoor,Hard,1st Round,3,Michelsen A.,Griekspoor T.,57,41,905,1220,6,1,5,7,6,2,NA,NA,NA,NA,2,1,Completed,1.8,2,1.89,2,1.9,2,1.82,1.97,1,-0.2273430958573706,0.4460705782528031,0.5753709577371593,0.23351478570063605,-0.2273430958573706,0.5753709577371593,0.4460705782528031,0.23351478570063605,1.5011689165192583,-0.5347260023580643,0.29641966915889945,0.7035803308411006,Griekspoor T.,FALSE,Michelsen A.,TRUE,49
49,Cincinnati,Western & Southern Financial Group Masters,2024-08-13,Masters 1000,Outdoor,Hard,1st Round,3,Nishioka Y.,Kecmanovic M.,52,51,939,940,6,4,7,5,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.85,2.04,1.91,2.04,1.84,1.95,2,0.01863020642321472,0.23967744473701091,0.11746840814658084,0.23080956621106147,0.01863020642321472,0.11746840814658084,0.23967744473701091,0.23080956621106147,1.4528311441355466,-0.06803144475690334,0.47288030148304716,0.5271196985169528,Kecmanovic M.,FALSE,Nishioka Y.,TRUE,49
49,Cincinnati,Western & Southern Financial Group Masters,2024-08-14,Masters 1000,Outdoor,Hard,1st Round,3,Borges N.,Mannarino A.,39,33,1265,1340,6,4,3,6,6,1,NA,NA,NA,NA,2,1,Completed,1.33,3.4,1.38,3.26,1.41,3.4,1.35,3.15,1,-0.2969926799018835,0.2765837105714861,0.42083266696668536,0.23250767901192204,-0.2969926799018835,0.42083266696668536,0.2765837105714861,0.23250767901192204,1.4596432337228857,-0.49178136840858233,0.3114369545632515,0.6885630454367485,Mannarino A.,FALSE,Borges N.,TRUE,49
50,Winston-Salem,Winston-Salem Open at Wake Forest University,2024-08-18,ATP250,Outdoor,Hard,1st Round,3,Cazaux A.,Van De Zandschulp B.,97,73,596,739,6,1,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.94,1.94,1.99,2,1.86,1.92,2,-0.05503893215678746,0.6119662946053563,0.2036342142598335,0.2415299981906138,-0.05503893215678746,0.2036342142598335,0.6119662946053563,0.2415299981906138,1.5597562263889084,-0.16584203482584695,0.4341406325661803,0.5658593674338197,Van De Zandschulp B.,FALSE,Cazaux A.,TRUE,50
50,Winston-Salem,Winston-Salem Open at Wake Forest University,2024-08-19,ATP250,Outdoor,Hard,1st Round,3,Goffin D.,Munar J.,90,82,635,682,7,5,4,6,6,3,NA,NA,NA,NA,2,1,Completed,1.73,2.1,1.81,2.09,1.85,2.13,1.76,2.05,1,-0.5432486267848375,0.5154980455742736,0.06689009922643499,0.28640381627408085,-0.5432486267848375,0.06689009922643499,0.5154980455742736,0.28640381627408085,1.5322419459625993,-0.39819998898931425,0.3452413870382255,0.6547586129617745,Munar J.,FALSE,Goffin D.,TRUE,50
51,New York,US Open,2024-08-26,Grand Slam,Outdoor,Hard,1st Round,5,Shang J.,Bublik A.,72,27,754,1650,6,4,3,6,5,7,6,3,6,4,3,2,Completed,1.67,2.2,1.71,2.27,1.74,2.33,1.67,2.2,1,NA,NA,0.313061176150247,0.25804267872985337,0,0.313061176150247,4,0.25804267872985337,4.250480681528393,-0.07365312293048137,0.47064319995173937,0.5293568000482607,Bublik A.,FALSE,Shang J.,TRUE,51
51,New York,US Open,2024-08-26,Grand Slam,Outdoor,Hard,1st Round,5,Baez S.,Darderi L.,23,37,1800,1291,6,4,6,7,6,0,7,6,NA,NA,3,1,Completed,1.73,2.1,1.71,2.27,1.74,2.27,1.7,2.17,2,0.12610928389705184,0.24298027632198463,0.7336825526965579,0.5277718449631001,0.12610928389705184,0.7336825526965579,0.24298027632198463,0.5277718449631001,1.5289154767407067,-0.39738839592016656,0.3455405356269162,0.6544594643730838,Darderi L.,FALSE,Baez S.,TRUE,51
51,New York,US Open,2024-08-27,Grand Slam,Outdoor,Hard,1st Round,5,Bergs Z.,Kotov P.,80,60,697,864,6,2,4,6,6,2,3,6,7,6,3,2,Completed,1.8,2,1.75,2.21,1.8,2.21,1.75,2.09,1,-0.49587134588676,1.02176385716599,0.27767588518902786,0.3793804639422715,-0.49587134588676,0.27767588518902786,1.02176385716599,0.3793804639422715,1.7854777837407483,-0.43324382869392625,0.33241882050370736,0.6675811794962927,Kotov P.,FALSE,Bergs Z.,TRUE,51
52,Chengdu,Chengdu Open,2024-09-19,ATP250,Outdoor,Hard,1st Round,3,O Connell C.,Kotov P.,75,61,720,864,6,4,7,5,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.7,2.24,1.7,2.28,1.66,2.19,2,0.05412280200349653,0.24806741467135063,0.21065679845297117,0.3723641937788406,0.05412280200349653,0.21065679845297117,0.24806741467135063,0.3723641937788406,1.483304599544643,-0.10553058117498504,0.4579774025976211,0.5420225974023789,Kotov P.,FALSE,O Connell C.,TRUE,52
53,Hangzhou,Hangzhou Open,2024-09-19,ATP250,Outdoor,Hard,1st Round,3,Hijikata R.,Dzumhur D.,81,86,681,655,2,6,7,6,6,2,NA,NA,NA,NA,2,1,Completed,1.73,2.1,1.85,2.05,1.85,2.14,1.74,2.08,1,-0.10056897652127396,0.34040106872926007,NA,NA,-0.10056897652127396,0,0.34040106872926007,4,4.256274531511334,-0.02362840455349189,0.49057450745778225,0.5094254925422177,Dzumhur D.,FALSE,Hijikata R.,TRUE,53
55,Tokyo,Japan Open Tennis Championships,2024-09-26,ATP500,Outdoor,Hard,1st Round,3,O Connell C.,Etcheverry T.,79,35,700,1370,6,4,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.73,2.1,1.83,2.08,1.83,2.11,1.76,2.03,2,0.0920192686424756,0.2461165598380453,0.47451815676256515,0.22840384555435023,0.0920192686424756,0.47451815676256515,0.2461165598380453,0.22840384555435023,1.4535273226501557,-0.2631521830788122,0.39621664227654435,0.6037833577234557,Etcheverry T.,FALSE,O Connell C.,TRUE,55
56,Shanghai,Shanghai Masters,2024-10-04,Masters 1000,Outdoor,Hard,1st Round,3,Michelsen A.,Bu Y.,43,69,1215,780,6,3,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.57,2.38,1.69,2.28,1.69,2.42,1.62,2.26,2,0.02210883351423984,0.41124421556921953,0.9711503074026676,1.78510752079381,0.02210883351423984,0.9711503074026676,0.41124421556921953,1.78510752079381,2.3142451610911423,-0.41008683515663685,0.34087112479620696,0.659128875203793,Bu Y.,FALSE,Michelsen A.,TRUE,56
59,Stockholm,Nordic Open,2024-10-15,ATP250,Indoor,Hard,1st Round,3,Kecmanovic M.,Norrie C.,55,52,965,989,6,4,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.88,2.02,1.95,2.02,1.84,1.94,2,0.11180050534036674,0.2259448308576576,0.26399065514142633,0.26042073520916564,0.11180050534036674,0.26399065514142633,0.2259448308576576,0.26042073520916564,1.4556338914432356,-0.10455249132057905,0.4583654572190877,0.5416345427809123,Norrie C.,FALSE,Kecmanovic M.,TRUE,59
63,Belgrade,Belgrade Open,2024-11-04,ATP250,Indoor,Hard,1st Round,3,Altmaier D.,Darderi L.,93,43,625,1248,7,6,6,3,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.79,2.12,1.86,2.18,1.77,2.02,2,-0.16005168786628127,0.2490036155600817,0.14620324163814163,0.409281661203901,-0.16005168786628127,0.14620324163814163,0.2490036155600817,0.409281661203901,1.4931558119499175,-0.20510580815037882,0.4187447293282311,0.5812552706717689,Darderi L.,FALSE,Altmaier D.,TRUE,63
63,Belgrade,Belgrade Open,2024-11-04,ATP250,Indoor,Hard,1st Round,3,Shapovalov D.,Fucsovics M.,78,91,718,629,6,7,7,5,6,1,NA,NA,NA,NA,2,1,Completed,1.57,2.38,1.66,2.35,1.66,2.45,1.58,2.34,1,0.24228050927778025,0.35779436648354496,0.3240068164461029,0.24707630963138535,0.24228050927778025,0.3240068164461029,0.35779436648354496,0.24707630963138535,1.4795484147091724,-0.05523733211825123,0.4779746937966155,0.5220253062033845,Fucsovics M.,FALSE,Shapovalov D.,TRUE,63
